directory,directory_type,county,state,municipality,municipality_type,query_keyword,candidate_query_url,sweep_priority,current_status,extracted_rows_currently_available,known_total_if_available,use_case,publication_rule,notes
Hotfrog,commercial directory,Colfax,NM,Cimarron,incorporated village,Cimarron NM,https://www.hotfrog.com/search/cimarron-nm,3,queued,,,lead discovery,"Commercial-directory-only rows must remain needs_verification until confirmed by official, business-owned, chamber, tourism, or current public source.",search/manual verification required; useful for lead discovery
Brownbook,commercial directory,Colfax,NM,Cimarron,incorporated village,Cimarron NM,https://www.brownbook.net/businesses/search?query=Cimarron+NM,3,queued,,,lead discovery,"Commercial-directory-only rows must remain needs_verification until confirmed by official, business-owned, chamber, tourism, or current public source.",search/manual verification required; useful for lead discovery
ChamberofCommerce.com,commercial chamber-style directory,Colfax,NM,Cimarron,incorporated village,Cimarron NM,https://www.chamberofcommerce.com/search?what=&where=Cimarron+NM,2,queued,,,lead discovery,"Commercial-directory-only rows must remain needs_verification until confirmed by official, business-owned, chamber, tourism, or current public source.",direct city pages may return paywall/402 in this environment
BBB,reputation/accreditation directory,Colfax,NM,Cimarron,incorporated village,Cimarron NM,https://www.bbb.org/search?find_country=USA&find_text=Cimarron+NM,3,queued,,,verification / spot check,"Commercial-directory-only rows must remain needs_verification until confirmed by official, business-owned, chamber, tourism, or current public source.","best for verification, not broad bulk discovery"
Tripadvisor,visitor-facing review directory,Colfax,NM,Cimarron,incorporated village,Cimarron NM,https://www.tripadvisor.com/Search?q=Cimarron+NM,3,queued,,,verification / spot check,"Commercial-directory-only rows must remain needs_verification until confirmed by official, business-owned, chamber, tourism, or current public source.",best for lodging/food/attractions verification; bulk extraction unreliable here
Yelp,review directory,Colfax,NM,Cimarron,incorporated village,Cimarron NM,https://www.yelp.com/search?find_desc=&find_loc=Cimarron+NM,3,queued,,,verification / spot check,"Commercial-directory-only rows must remain needs_verification until confirmed by official, business-owned, chamber, tourism, or current public source.",manual/API verification only in this environment
Google Business Profile / Maps,map/business listing layer,Colfax,NM,Cimarron,incorporated village,Cimarron NM,https://www.google.com/search?q=Cimarron+NM+businesses,3,queued,,,verification / spot check,"Commercial-directory-only rows must remain needs_verification until confirmed by official, business-owned, chamber, tourism, or current public source.",manual verification only; do not scrape personal/private data
Apple Maps / Apple Business Connect,map/business listing layer,Colfax,NM,Cimarron,incorporated village,Cimarron NM,https://maps.apple.com/?q=Cimarron+NM,4,queued,,,verification / spot check,"Commercial-directory-only rows must remain needs_verification until confirmed by official, business-owned, chamber, tourism, or current public source.",manual verification only
Bing Places / Bing Maps,map/business listing layer,Colfax,NM,Cimarron,incorporated village,Cimarron NM,https://www.bing.com/maps?q=Cimarron+NM+businesses,4,queued,,,verification / spot check,"Commercial-directory-only rows must remain needs_verification until confirmed by official, business-owned, chamber, tourism, or current public source.",manual verification only
YellowPages.com,large commercial directory,Colfax,NM,Eagle Nest,incorporated village,Eagle Nest NM,https://www.yellowpages.com/eagle-nest-nm,1,yp_bulk_page_extracted_partial_remaining_pages_or_rows,3,unknown from city page only,lead discovery,"Commercial-directory-only rows must remain needs_verification until confirmed by official, business-owned, chamber, tourism, or current public source.",usable here for some city bulk pages; already extracted where accessible
YellowPagesDirectory.com,large commercial directory,Colfax,NM,Eagle Nest,incorporated village,Eagle Nest NM,https://www.yellowpagesdirectory.com/search?q=Eagle+Nest+NM,2,queued,,,lead discovery,"Commercial-directory-only rows must remain needs_verification until confirmed by official, business-owned, chamber, tourism, or current public source.",search/manual verification required; web search did not surface stable city URLs here
Manta,large commercial directory,Colfax,NM,Eagle Nest,incorporated village,Eagle Nest NM,https://www.manta.com/search?search=Eagle+Nest+NM,2,queued,,,lead discovery,"Commercial-directory-only rows must remain needs_verification until confirmed by official, business-owned, chamber, tourism, or current public source.",search/manual verification required; web search did not surface stable city URLs here
MerchantCircle,small business directory,Colfax,NM,Eagle Nest,incorporated village,Eagle Nest NM,https://www.merchantcircle.com/search?q=Eagle+Nest+NM,2,queued,,,lead discovery,"Commercial-directory-only rows must remain needs_verification until confirmed by official, business-owned, chamber, tourism, or current public source.",search/manual verification required; may expose stale local business rows
Cylex,commercial directory,Colfax,NM,Eagle Nest,incorporated village,Eagle Nest NM,https://www.cylex.us.com/search/?q=Eagle+Nest+NM,2,queued,,,lead discovery,"Commercial-directory-only rows must remain needs_verification until confirmed by official, business-owned, chamber, tourism, or current public source.",search/manual verification required; useful for older local records
Hotfrog,commercial directory,Colfax,NM,Eagle Nest,incorporated village,Eagle Nest NM,https://www.hotfrog.com/search/eagle-nest-nm,3,queued,,,lead discovery,"Commercial-directory-only rows must remain needs_verification until confirmed by official, business-owned, chamber, tourism, or current public source.",search/manual verification required; useful for lead discovery
Brownbook,commercial directory,Colfax,NM,Eagle Nest,incorporated village,Eagle Nest NM,https://www.brownbook.net/businesses/search?query=Eagle+Nest+NM,3,queued,,,lead discovery,"Commercial-directory-only rows must remain needs_verification until confirmed by official, business-owned, chamber, tourism, or current public source.",search/manual verification required; useful for lead discovery
ChamberofCommerce.com,commercial chamber-style directory,Colfax,NM,Eagle Nest,incorporated village,Eagle Nest NM,https://www.chamberofcommerce.com/search?what=&where=Eagle+Nest+NM,2,queued,,,lead discovery,"Commercial-directory-only rows must remain needs_verification until confirmed by official, business-owned, chamber, tourism, or current public source.",direct city pages may return paywall/402 in this environment
BBB,reputation/accreditation directory,Colfax,NM,Eagle Nest,incorporated village,Eagle Nest NM,https://www.bbb.org/search?find_country=USA&find_text=Eagle+Nest+NM,3,queued,,,verification / spot check,"Commercial-directory-only rows must remain needs_verification until confirmed by official, business-owned, chamber, tourism, or current public source.","best for verification, not broad bulk discovery"
Tripadvisor,visitor-facing review directory,Colfax,NM,Eagle Nest,incorporated village,Eagle Nest NM,https://www.tripadvisor.com/Search?q=Eagle+Nest+NM,3,queued,,,verification / spot check,"Commercial-directory-only rows must remain needs_verification until confirmed by official, business-owned, chamber, tourism, or current public source.",best for lodging/food/attractions verification; bulk extraction unreliable here
Yelp,review directory,Colfax,NM,Eagle Nest,incorporated village,Eagle Nest NM,https://www.yelp.com/search?find_desc=&find_loc=Eagle+Nest+NM,3,queued,,,verification / spot check,"Commercial-directory-only rows must remain needs_verification until confirmed by official, business-owned, chamber, tourism, or current public source.",manual/API verification only in this environment
Google Business Profile / Maps,map/business listing layer,Colfax,NM,Eagle Nest,incorporated village,Eagle Nest NM,https://www.google.com/search?q=Eagle+Nest+NM+businesses,3,queued,,,verification / spot check,"Commercial-directory-only rows must remain needs_verification until confirmed by official, business-owned, chamber, tourism, or current public source.",manual verification only; do not scrape personal/private data
Apple Maps / Apple Business Connect,map/business listing layer,Colfax,NM,Eagle Nest,incorporated village,Eagle Nest NM,https://maps.apple.com/?q=Eagle+Nest+NM,4,queued,,,verification / spot check,"Commercial-directory-only rows must remain needs_verification until confirmed by official, business-owned, chamber, tourism, or current public source.",manual verification only
Bing Places / Bing Maps,map/business listing layer,Colfax,NM,Eagle Nest,incorporated village,Eagle Nest NM,https://www.bing.com/maps?q=Eagle+Nest+NM+businesses,4,queued,,,verification / spot check,"Commercial-directory-only rows must remain needs_verification until confirmed by official, business-owned, chamber, tourism, or current public source.",manual verification only
YellowPages.com,large commercial directory,Colfax,NM,Maxwell,incorporated village,Maxwell NM,https://www.yellowpages.com/maxwell-nm/business-listings/1,1,queued_for_yp_bulk_or_city_page_check,,,lead discovery,"Commercial-directory-only rows must remain needs_verification until confirmed by official, business-owned, chamber, tourism, or current public source.",usable here for some city bulk pages; already extracted where accessible
YellowPagesDirectory.com,large commercial directory,Colfax,NM,Maxwell,incorporated village,Maxwell NM,https://www.yellowpagesdirectory.com/search?q=Maxwell+NM,2,queued,,,lead discovery,"Commercial-directory-only rows must remain needs_verification until confirmed by official, business-owned, chamber, tourism, or current public source.",search/manual verification required; web search did not surface stable city URLs here
Manta,large commercial directory,Colfax,NM,Maxwell,incorporated village,Maxwell NM,https://www.manta.com/search?search=Maxwell+NM,2,queued,,,lead discovery,"Commercial-directory-only rows must remain needs_verification until confirmed by official, business-owned, chamber, tourism, or current public source.",search/manual verification required; web search did not surface stable city URLs here
MerchantCircle,small business directory,Colfax,NM,Maxwell,incorporated village,Maxwell NM,https://www.merchantcircle.com/search?q=Maxwell+NM,2,queued,,,lead discovery,"Commercial-directory-only rows must remain needs_verification until confirmed by official, business-owned, chamber, tourism, or current public source.",search/manual verification required; may expose stale local business rows
Cylex,commercial directory,Colfax,NM,Maxwell,incorporated village,Maxwell NM,https://www.cylex.us.com/search/?q=Maxwell+NM,2,queued,,,lead discovery,"Commercial-directory-only rows must remain needs_verification until confirmed by official, business-owned, chamber, tourism, or current public source.",search/manual verification required; useful for older local records
Hotfrog,commercial directory,Colfax,NM,Maxwell,incorporated village,Maxwell NM,https://www.hotfrog.com/search/maxwell-nm,3,queued,,,lead discovery,"Commercial-directory-only rows must remain needs_verification until confirmed by official, business-owned, chamber, tourism, or current public source.",search/manual verification required; useful for lead discovery
Brownbook,commercial directory,Colfax,NM,Maxwell,incorporated village,Maxwell NM,https://www.brownbook.net/businesses/search?query=Maxwell+NM,3,queued,,,lead discovery,"Commercial-directory-only rows must remain needs_verification until confirmed by official, business-owned, chamber, tourism, or current public source.",search/manual verification required; useful for lead discovery
ChamberofCommerce.com,commercial chamber-style directory,Colfax,NM,Maxwell,incorporated village,Maxwell NM,https://www.chamberofcommerce.com/search?what=&where=Maxwell+NM,2,queued,,,lead discovery,"Commercial-directory-only rows must remain needs_verification until confirmed by official, business-owned, chamber, tourism, or current public source.",direct city pages may return paywall/402 in this environment
BBB,reputation/accreditation directory,Colfax,NM,Maxwell,incorporated village,Maxwell NM,https://www.bbb.org/search?find_country=USA&find_text=Maxwell+NM,3,queued,,,verification / spot check,"Commercial-directory-only rows must remain needs_verification until confirmed by official, business-owned, chamber, tourism, or current public source.","best for verification, not broad bulk discovery"
Tripadvisor,visitor-facing review directory,Colfax,NM,Maxwell,incorporated village,Maxwell NM,https://www.tripadvisor.com/Search?q=Maxwell+NM,3,queued,,,verification / spot check,"Commercial-directory-only rows must remain needs_verification until confirmed by official, business-owned, chamber, tourism, or current public source.",best for lodging/food/attractions verification; bulk extraction unreliable here
Yelp,review directory,Colfax,NM,Maxwell,incorporated village,Maxwell NM,https://www.yelp.com/search?find_desc=&find_loc=Maxwell+NM,3,queued,,,verification / spot check,"Commercial-directory-only rows must remain needs_verification until confirmed by official, business-owned, chamber, tourism, or current public source.",manual/API verification only in this environment
Google Business Profile / Maps,map/business listing layer,Colfax,NM,Maxwell,incorporated village,Maxwell NM,https://www.google.com/search?q=Maxwell+NM+businesses,3,queued,,,verification / spot check,"Commercial-directory-only rows must remain needs_verification until confirmed by official, business-owned, chamber, tourism, or current public source.",manual verification only; do not scrape personal/private data
Apple Maps / Apple Business Connect,map/business listing layer,Colfax,NM,Maxwell,incorporated village,Maxwell NM,https://maps.apple.com/?q=Maxwell+NM,4,queued,,,verification / spot check,"Commercial-directory-only rows must remain needs_verification until confirmed by official, business-owned, chamber, tourism, or current public source.",manual verification only
Bing Places / Bing Maps,map/business listing layer,Colfax,NM,Maxwell,incorporated village,Maxwell NM,https://www.bing.com/maps?q=Maxwell+NM+businesses,4,queued,,,verification / spot check,"Commercial-directory-only rows must remain needs_verification until confirmed by official, business-owned, chamber, tourism, or current public source.",manual verification only
YellowPages.com,large commercial directory,Colfax,NM,Springer,incorporated town,Springer NM,https://www.yellowpages.com/springer-nm,1,yp_bulk_page_extracted_partial_remaining_pages_or_rows,16,unknown from city page only,lead discovery,"Commercial-directory-only rows must remain needs_verification until confirmed by official, business-owned, chamber, tourism, or current public source.",usable here for some city bulk pages; already extracted where accessible
YellowPagesDirectory.com,large commercial directory,Colfax,NM,Springer,incorporated town,Springer NM,https://www.yellowpagesdirectory.com/search?q=Springer+NM,2,queued,,,lead discovery,"Commercial-directory-only rows must remain needs_verification until confirmed by official, business-owned, chamber, tourism, or current public source.",search/manual verification required; web search did not surface stable city URLs here
Manta,large commercial directory,Colfax,NM,Springer,incorporated town,Springer NM,https://www.manta.com/search?search=Springer+NM,2,queued,,,lead discovery,"Commercial-directory-only rows must remain needs_verification until confirmed by official, business-owned, chamber, tourism, or current public source.",search/manual verification required; web search did not surface stable city URLs here
MerchantCircle,small business directory,Colfax,NM,Springer,incorporated town,Springer NM,https://www.merchantcircle.com/search?q=Springer+NM,2,queued,,,lead discovery,"Commercial-directory-only rows must remain needs_verification until confirmed by official, business-owned, chamber, tourism, or current public source.",search/manual verification required; may expose stale local business rows
Cylex,commercial directory,Colfax,NM,Springer,incorporated town,Springer NM,https://www.cylex.us.com/search/?q=Springer+NM,2,queued,,,lead discovery,"Commercial-directory-only rows must remain needs_verification until confirmed by official, business-owned, chamber, tourism, or current public source.",search/manual verification required; useful for older local records
Hotfrog,commercial directory,Colfax,NM,Springer,incorporated town,Springer NM,https://www.hotfrog.com/search/springer-nm,3,queued,,,lead discovery,"Commercial-directory-only rows must remain needs_verification until confirmed by official, business-owned, chamber, tourism, or current public source.",search/manual verification required; useful for lead discovery
Brownbook,commercial directory,Colfax,NM,Springer,incorporated town,Springer NM,https://www.brownbook.net/businesses/search?query=Springer+NM,3,queued,,,lead discovery,"Commercial-directory-only rows must remain needs_verification until confirmed by official, business-owned, chamber, tourism, or current public source.",search/manual verification required; useful for lead discovery
ChamberofCommerce.com,commercial chamber-style directory,Colfax,NM,Springer,incorporated town,Springer NM,https://www.chamberofcommerce.com/search?what=&where=Springer+NM,2,queued,,,lead discovery,"Commercial-directory-only rows must remain needs_verification until confirmed by official, business-owned, chamber, tourism, or current public source.",direct city pages may return paywall/402 in this environment
BBB,reputation/accreditation directory,Colfax,NM,Springer,incorporated town,Springer NM,https://www.bbb.org/search?find_country=USA&find_text=Springer+NM,3,queued,,,verification / spot check,"Commercial-directory-only rows must remain needs_verification until confirmed by official, business-owned, chamber, tourism, or current public source.","best for verification, not broad bulk discovery"
Tripadvisor,visitor-facing review directory,Colfax,NM,Springer,incorporated town,Springer NM,https://www.tripadvisor.com/Search?q=Springer+NM,3,queued,,,verification / spot check,"Commercial-directory-only rows must remain needs_verification until confirmed by official, business-owned, chamber, tourism, or current public source.",best for lodging/food/attractions verification; bulk extraction unreliable here
Yelp,review directory,Colfax,NM,Springer,incorporated town,Springer NM,https://www.yelp.com/search?find_desc=&find_loc=Springer+NM,3,queued,,,verification / spot check,"Commercial-directory-only rows must remain needs_verification until confirmed by official, business-owned, chamber, tourism, or current public source.",manual/API verification only in this environment
Google Business Profile / Maps,map/business listing layer,Colfax,NM,Springer,incorporated town,Springer NM,https://www.google.com/search?q=Springer+NM+businesses,3,queued,,,verification / spot check,"Commercial-directory-only rows must remain needs_verification until confirmed by official, business-owned, chamber, tourism, or current public source.",manual verification only; do not scrape personal/private data
Apple Maps / Apple Business Connect,map/business listing layer,Colfax,NM,Springer,incorporated town,Springer NM,https://maps.apple.com/?q=Springer+NM,4,queued,,,verification / spot check,"Commercial-directory-only rows must remain needs_verification until confirmed by official, business-owned, chamber, tourism, or current public source.",manual verification only
Bing Places / Bing Maps,map/business listing layer,Colfax,NM,Springer,incorporated town,Springer NM,https://www.bing.com/maps?q=Springer+NM+businesses,4,queued,,,verification / spot check,"Commercial-directory-only rows must remain needs_verification until confirmed by official, business-owned, chamber, tourism, or current public source.",manual verification only
YellowPages.com,large commercial directory,Colfax,NM,Ute Park,unincorporated community,Ute Park NM,https://www.yellowpages.com/ute-park-nm/business-listings/1,2,queued_for_yp_bulk_or_city_page_check,,,lead discovery,"Commercial-directory-only rows must remain needs_verification until confirmed by official, business-owned, chamber, tourism, or current public source.",usable here for some city bulk pages; already extracted where accessible
YellowPagesDirectory.com,large commercial directory,Colfax,NM,Ute Park,unincorporated community,Ute Park NM,https://www.yellowpagesdirectory.com/search?q=Ute+Park+NM,3,queued,,,lead discovery,"Commercial-directory-only rows must remain needs_verification until confirmed by official, business-owned, chamber, tourism, or current public source.",search/manual verification required; web search did not surface stable city URLs here
Manta,large commercial directory,Colfax,NM,Ute Park,unincorporated community,Ute Park NM,https://www.manta.com/search?search=Ute+Park+NM,3,queued,,,lead discovery,"Commercial-directory-only rows must remain needs_verification until confirmed by official, business-owned, chamber, tourism, or current public source.",search/manual verification required; web search did not surface stable city URLs here
MerchantCircle,small business directory,Colfax,NM,Ute Park,unincorporated community,Ute Park NM,https://www.merchantcircle.com/search?q=Ute+Park+NM,3,queued,,,lead discovery,"Commercial-directory-only rows must remain needs_verification until confirmed by official, business-owned, chamber, tourism, or current public source.",search/manual verification required; may expose stale local business rows
Cylex,commercial directory,Colfax,NM,Ute Park,unincorporated community,Ute Park NM,https://www.cylex.us.com/search/?q=Ute+Park+NM,3,queued,,,lead discovery,"Commercial-directory-only rows must remain needs_verification until confirmed by official, business-owned, chamber, tourism, or current public source.",search/manual verification required; useful for older local records
Hotfrog,commercial directory,Colfax,NM,Ute Park,unincorporated community,Ute Park NM,https://www.hotfrog.com/search/ute-park-nm,4,queued,,,lead discovery,"Commercial-directory-only rows must remain needs_verification until confirmed by official, business-owned, chamber, tourism, or current public source.",search/manual verification required; useful for lead discovery
Brownbook,commercial directory,Colfax,NM,Ute Park,unincorporated community,Ute Park NM,https://www.brownbook.net/businesses/search?query=Ute+Park+NM,4,queued,,,lead discovery,"Commercial-directory-only rows must remain needs_verification until confirmed by official, business-owned, chamber, tourism, or current public source.",search/manual verification required; useful for lead discovery
