business_name,city,county,state,category,physical_flyer_likelihood,outreach_priority_score,recommended_outreach_action,corporate_policy_risk,public_foot_traffic,digital_distribution_likelihood,review_reason,end_user_warning,municipality_scope,physical_address,phone,website,source_url,source_type,source_scope,verification_status,import_recommendation,notes,deploy_crosscheck,deploy_match_name,deploy_match_id
Anthony's Jewelers,Raton,Colfax,NM,unspecified,Unknown: needs local check,2,Call or visit once to confirm whether the location is public-facing and accepts community materials.,Unknown,Unknown,Unknown,Local business listing from available listing; Commercial directory page lacks enough detail.,Verify before using as an outreach recommendation.,Raton,not extracted in bulk page,not extracted in bulk page,not extracted in bulk page,https://www.yellowpages.com/raton-nm/business-listings/1,YellowPages.com bulk listing page,Raton bulk listings page 1: visible 1-200 of 271,commercial_directory_unverified,review before publishing; use as lead/listing review row,"Extracted from public YellowPages city/business-listings page visible in web result. Bulk pages often include duplicates, chains, government offices, schools, churches, public entities, and outdated records.",not_found_in_latest_deploy_by_exact_name,,
Dona Ana Apartments,Raton,Colfax,NM,unspecified,High: likely local flyer-friendly,5,"Ask owner/manager to post flyer near entrance/register, leave small stack, or share digital event graphic.",Low,High,Medium,Public-facing local business type with regular foot traffic and likely community-event relevance.,Good outreach candidate; still confirm before posting or leaving materials.,Raton,not extracted in bulk page,not extracted in bulk page,not extracted in bulk page,https://www.yellowpages.com/raton-nm/business-listings/1,YellowPages.com bulk listing page,Raton bulk listings page 1: visible 1-200 of 271,commercial_directory_unverified,review before publishing; use as lead/listing review row,"Extracted from public YellowPages city/business-listings page visible in web result. Bulk pages often include duplicates, chains, government offices, schools, churches, public entities, and outdated records.",not_found_in_latest_deploy_by_exact_name,,
Dairy Queen,Raton,Colfax,NM,unspecified,Low: corporate/franchise restrictions likely,1,Do not assume flyers allowed. Ask local manager only for community-board exception or donation/sponsorship route.,High,Medium,Low,Name appears to be chain/franchise/corporate; outside advertising is often restricted by brand or store policy.,Avoid directing users here as a likely flyer stop unless a local board is verified.,Raton,not extracted in bulk page,not extracted in bulk page,not extracted in bulk page,https://www.yellowpages.com/raton-nm/business-listings/1,YellowPages.com bulk listing page,Raton bulk listings page 1: visible 1-200 of 271,commercial_directory_unverified,review before publishing; use as lead/listing review row,"Extracted from public YellowPages city/business-listings page visible in web result. Bulk pages often include duplicates, chains, government offices, schools, churches, public entities, and outdated records.",not_found_in_latest_deploy_by_exact_name,,
Bruno's Pizza & Wings,Raton,Colfax,NM,unspecified,High: likely local flyer-friendly,5,"Ask owner/manager to post flyer near entrance/register, leave small stack, or share digital event graphic.",Low,High,Medium,Public-facing local business type with regular foot traffic and likely community-event relevance.,Good outreach candidate; still confirm before posting or leaving materials.,Raton,not extracted in bulk page,not extracted in bulk page,not extracted in bulk page,https://www.yellowpages.com/raton-nm/business-listings/1,YellowPages.com bulk listing page,Raton bulk listings page 1: visible 1-200 of 271,commercial_directory_unverified,review before publishing; use as lead/listing review row,"Extracted from public YellowPages city/business-listings page visible in web result. Bulk pages often include duplicates, chains, government offices, schools, churches, public entities, and outdated records.",present_exact_name_city,Bruno's Pizza & Wings,bruno-s-pizza-wings-colfax-food-beverage
Medicine Shoppe,Raton,Colfax,NM,unspecified,High: likely local flyer-friendly,5,"Ask owner/manager to post flyer near entrance/register, leave small stack, or share digital event graphic.",Low,High,Medium,Public-facing local business type with regular foot traffic and likely community-event relevance.,Good outreach candidate; still confirm before posting or leaving materials.,Raton,not extracted in bulk page,not extracted in bulk page,not extracted in bulk page,https://www.yellowpages.com/raton-nm/business-listings/1,YellowPages.com bulk listing page,Raton bulk listings page 1: visible 1-200 of 271,commercial_directory_unverified,review before publishing; use as lead/listing review row,"Extracted from public YellowPages city/business-listings page visible in web result. Bulk pages often include duplicates, chains, government offices, schools, churches, public entities, and outdated records.",not_found_in_latest_deploy_by_exact_name,,
Domino's Pizza,Raton,Colfax,NM,unspecified,Low: corporate/franchise restrictions likely,1,Do not assume flyers allowed. Ask local manager only for community-board exception or donation/sponsorship route.,High,High,Low,Name appears to be chain/franchise/corporate; outside advertising is often restricted by brand or store policy.,Avoid directing users here as a likely flyer stop unless a local board is verified.,Raton,not extracted in bulk page,not extracted in bulk page,not extracted in bulk page,https://www.yellowpages.com/raton-nm/business-listings/1,YellowPages.com bulk listing page,Raton bulk listings page 1: visible 1-200 of 271,commercial_directory_unverified,review before publishing; use as lead/listing review row,"Extracted from public YellowPages city/business-listings page visible in web result. Bulk pages often include duplicates, chains, government offices, schools, churches, public entities, and outdated records.",not_found_in_latest_deploy_by_exact_name,,
New Mexico - State,Raton,Colfax,NM,unspecified,Unknown: needs local check,2,Call or visit once to confirm whether the location is public-facing and accepts community materials.,Unknown,Unknown,Unknown,Local business listing from available listing; Commercial directory page lacks enough detail.,Verify before using as an outreach recommendation.,Raton,not extracted in bulk page,not extracted in bulk page,not extracted in bulk page,https://www.yellowpages.com/raton-nm/business-listings/1,YellowPages.com bulk listing page,Raton bulk listings page 1: visible 1-200 of 271,commercial_directory_unverified,review before publishing; use as lead/listing review row,"Extracted from public YellowPages city/business-listings page visible in web result. Bulk pages often include duplicates, chains, government offices, schools, churches, public entities, and outdated records.",not_found_in_latest_deploy_by_exact_name,,
Alta Convenience,Raton,Colfax,NM,unspecified,Medium: ask manager,3,"Ask manager for counter stack, lobby board, staff referral, or digital share if event fits customers.",Low,Medium,Low,"Public-facing or locally useful business, but flyer permission depends on management and fit.",Review for audience fit before directing users here.,Raton,not extracted in bulk page,not extracted in bulk page,not extracted in bulk page,https://www.yellowpages.com/raton-nm/business-listings/1,YellowPages.com bulk listing page,Raton bulk listings page 1: visible 1-200 of 271,commercial_directory_unverified,review before publishing; use as lead/listing review row,"Extracted from public YellowPages city/business-listings page visible in web result. Bulk pages often include duplicates, chains, government offices, schools, churches, public entities, and outdated records.",not_found_in_latest_deploy_by_exact_name,,
Woody's Furniture & Appliance,Raton,Colfax,NM,unspecified,Unknown: needs local check,2,Call or visit once to confirm whether the location is public-facing and accepts community materials.,Unknown,Unknown,Unknown,Local business listing from available listing; Commercial directory page lacks enough detail.,Verify before using as an outreach recommendation.,Raton,not extracted in bulk page,not extracted in bulk page,not extracted in bulk page,https://www.yellowpages.com/raton-nm/business-listings/1,YellowPages.com bulk listing page,Raton bulk listings page 1: visible 1-200 of 271,commercial_directory_unverified,review before publishing; use as lead/listing review row,"Extracted from public YellowPages city/business-listings page visible in web result. Bulk pages often include duplicates, chains, government offices, schools, churches, public entities, and outdated records.",not_found_in_latest_deploy_by_exact_name,,
El Matador,Raton,Colfax,NM,unspecified,Unknown: needs local check,2,Call or visit once to confirm whether the location is public-facing and accepts community materials.,Unknown,Unknown,Unknown,Local business listing from available listing; Commercial directory page lacks enough detail.,Verify before using as an outreach recommendation.,Raton,not extracted in bulk page,not extracted in bulk page,not extracted in bulk page,https://www.yellowpages.com/raton-nm/business-listings/1,YellowPages.com bulk listing page,Raton bulk listings page 1: visible 1-200 of 271,commercial_directory_unverified,review before publishing; use as lead/listing review row,"Extracted from public YellowPages city/business-listings page visible in web result. Bulk pages often include duplicates, chains, government offices, schools, churches, public entities, and outdated records.",not_found_in_latest_deploy_by_exact_name,,
Oasis Restaurant,Raton,Colfax,NM,unspecified,High: likely local flyer-friendly,5,"Ask owner/manager to post flyer near entrance/register, leave small stack, or share digital event graphic.",Low,High,Medium,Public-facing local business type with regular foot traffic and likely community-event relevance.,Good outreach candidate; still confirm before posting or leaving materials.,Raton,not extracted in bulk page,not extracted in bulk page,not extracted in bulk page,https://www.yellowpages.com/raton-nm/business-listings/1,YellowPages.com bulk listing page,Raton bulk listings page 1: visible 1-200 of 271,commercial_directory_unverified,review before publishing; use as lead/listing review row,"Extracted from public YellowPages city/business-listings page visible in web result. Bulk pages often include duplicates, chains, government offices, schools, churches, public entities, and outdated records.",not_found_in_latest_deploy_by_exact_name,,
Phil Long Ford of Raton,Raton,Colfax,NM,unspecified,Unknown: needs local check,2,Call or visit once to confirm whether the location is public-facing and accepts community materials.,Unknown,Unknown,Unknown,Local business listing from available listing; Commercial directory page lacks enough detail.,Verify before using as an outreach recommendation.,Raton,not extracted in bulk page,not extracted in bulk page,not extracted in bulk page,https://www.yellowpages.com/raton-nm/business-listings/1,YellowPages.com bulk listing page,Raton bulk listings page 1: visible 1-200 of 271,commercial_directory_unverified,review before publishing; use as lead/listing review row,"Extracted from public YellowPages city/business-listings page visible in web result. Bulk pages often include duplicates, chains, government offices, schools, churches, public entities, and outdated records.",not_found_in_latest_deploy_by_exact_name,,
Kmart,Raton,Colfax,NM,unspecified,High: likely local flyer-friendly,5,"Ask owner/manager to post flyer near entrance/register, leave small stack, or share digital event graphic.",Low,High,Medium,Public-facing local business type with regular foot traffic and likely community-event relevance.,Good outreach candidate; still confirm before posting or leaving materials.,Raton,not extracted in bulk page,not extracted in bulk page,not extracted in bulk page,https://www.yellowpages.com/raton-nm/business-listings/1,YellowPages.com bulk listing page,Raton bulk listings page 1: visible 1-200 of 271,commercial_directory_unverified,review before publishing; use as lead/listing review row,"Extracted from public YellowPages city/business-listings page visible in web result. Bulk pages often include duplicates, chains, government offices, schools, churches, public entities, and outdated records.",not_found_in_latest_deploy_by_exact_name,,
Super 8 by Wyndham Raton,Raton,Colfax,NM,unspecified,Low: corporate/franchise restrictions likely,1,Do not assume flyers allowed. Ask local manager only for community-board exception or donation/sponsorship route.,High,Medium,Low,Name appears to be chain/franchise/corporate; outside advertising is often restricted by brand or store policy.,Avoid directing users here as a likely flyer stop unless a local board is verified.,Raton,not extracted in bulk page,not extracted in bulk page,not extracted in bulk page,https://www.yellowpages.com/raton-nm/business-listings/1,YellowPages.com bulk listing page,Raton bulk listings page 1: visible 1-200 of 271,commercial_directory_unverified,review before publishing; use as lead/listing review row,"Extracted from public YellowPages city/business-listings page visible in web result. Bulk pages often include duplicates, chains, government offices, schools, churches, public entities, and outdated records.",not_found_in_latest_deploy_by_exact_name,,
China Garden Restaurant,Raton,Colfax,NM,unspecified,High: likely local flyer-friendly,5,"Ask owner/manager to post flyer near entrance/register, leave small stack, or share digital event graphic.",Low,High,Medium,Public-facing local business type with regular foot traffic and likely community-event relevance.,Good outreach candidate; still confirm before posting or leaving materials.,Raton,not extracted in bulk page,not extracted in bulk page,not extracted in bulk page,https://www.yellowpages.com/raton-nm/business-listings/1,YellowPages.com bulk listing page,Raton bulk listings page 1: visible 1-200 of 271,commercial_directory_unverified,review before publishing; use as lead/listing review row,"Extracted from public YellowPages city/business-listings page visible in web result. Bulk pages often include duplicates, chains, government offices, schools, churches, public entities, and outdated records.",not_found_in_latest_deploy_by_exact_name,,
Tractor Supply Co,Raton,Colfax,NM,unspecified,Low: corporate/franchise restrictions likely,1,Do not assume flyers allowed. Ask local manager only for community-board exception or donation/sponsorship route.,High,Medium,Low,Name appears to be chain/franchise/corporate; outside advertising is often restricted by brand or store policy.,Avoid directing users here as a likely flyer stop unless a local board is verified.,Raton,not extracted in bulk page,not extracted in bulk page,not extracted in bulk page,https://www.yellowpages.com/raton-nm/business-listings/1,YellowPages.com bulk listing page,Raton bulk listings page 1: visible 1-200 of 271,commercial_directory_unverified,review before publishing; use as lead/listing review row,"Extracted from public YellowPages city/business-listings page visible in web result. Bulk pages often include duplicates, chains, government offices, schools, churches, public entities, and outdated records.",not_found_in_latest_deploy_by_exact_name,,
Subway,Raton,Colfax,NM,unspecified,Low: corporate/franchise restrictions likely,1,Do not assume flyers allowed. Ask local manager only for community-board exception or donation/sponsorship route.,High,Medium,Low,Name appears to be chain/franchise/corporate; outside advertising is often restricted by brand or store policy.,Avoid directing users here as a likely flyer stop unless a local board is verified.,Raton,not extracted in bulk page,not extracted in bulk page,not extracted in bulk page,https://www.yellowpages.com/raton-nm/business-listings/1,YellowPages.com bulk listing page,Raton bulk listings page 1: visible 1-200 of 271,commercial_directory_unverified,review before publishing; use as lead/listing review row,"Extracted from public YellowPages city/business-listings page visible in web result. Bulk pages often include duplicates, chains, government offices, schools, churches, public entities, and outdated records.",not_found_in_latest_deploy_by_exact_name,,
J R's Fuel Stop,Raton,Colfax,NM,unspecified,Unknown: needs local check,2,Call or visit once to confirm whether the location is public-facing and accepts community materials.,Unknown,Unknown,Unknown,Local business listing from available listing; Commercial directory page lacks enough detail.,Verify before using as an outreach recommendation.,Raton,not extracted in bulk page,not extracted in bulk page,not extracted in bulk page,https://www.yellowpages.com/raton-nm/business-listings/1,YellowPages.com bulk listing page,Raton bulk listings page 1: visible 1-200 of 271,commercial_directory_unverified,review before publishing; use as lead/listing review row,"Extracted from public YellowPages city/business-listings page visible in web result. Bulk pages often include duplicates, chains, government offices, schools, churches, public entities, and outdated records.",not_found_in_latest_deploy_by_exact_name,,
Sands Restaurant,Raton,Colfax,NM,unspecified,High: likely local flyer-friendly,5,"Ask owner/manager to post flyer near entrance/register, leave small stack, or share digital event graphic.",Low,High,Medium,Public-facing local business type with regular foot traffic and likely community-event relevance.,Good outreach candidate; still confirm before posting or leaving materials.,Raton,not extracted in bulk page,not extracted in bulk page,not extracted in bulk page,https://www.yellowpages.com/raton-nm/business-listings/1,YellowPages.com bulk listing page,Raton bulk listings page 1: visible 1-200 of 271,commercial_directory_unverified,review before publishing; use as lead/listing review row,"Extracted from public YellowPages city/business-listings page visible in web result. Bulk pages often include duplicates, chains, government offices, schools, churches, public entities, and outdated records.",not_found_in_latest_deploy_by_exact_name,,
Mesa Vista Veterinary Hospital,Raton,Colfax,NM,unspecified,Community-public: formal permission,4,"Ask about official community bulletin, calendar, lobby board, or partner-share rules.",Low corporate risk / public-process risk,Medium,Medium,"Public/civic institution or chamber/tourism-like entity; useful for community distribution, but approval process may be formal.",Do not treat as normal business; verify public posting policy.,Raton,not extracted in bulk page,not extracted in bulk page,not extracted in bulk page,https://www.yellowpages.com/raton-nm/business-listings/1,YellowPages.com bulk listing page,Raton bulk listings page 1: visible 1-200 of 271,commercial_directory_unverified,review before publishing; use as lead/listing review row,"Extracted from public YellowPages city/business-listings page visible in web result. Bulk pages often include duplicates, chains, government offices, schools, churches, public entities, and outdated records.",not_found_in_latest_deploy_by_exact_name,,
AutoZone Auto Parts,Raton,Colfax,NM,unspecified,Low: corporate/franchise restrictions likely,1,Do not assume flyers allowed. Ask local manager only for community-board exception or donation/sponsorship route.,High,High,Low,Name appears to be chain/franchise/corporate; outside advertising is often restricted by brand or store policy.,Avoid directing users here as a likely flyer stop unless a local board is verified.,Raton,not extracted in bulk page,not extracted in bulk page,not extracted in bulk page,https://www.yellowpages.com/raton-nm/business-listings/1,YellowPages.com bulk listing page,Raton bulk listings page 1: visible 1-200 of 271,commercial_directory_unverified,review before publishing; use as lead/listing review row,"Extracted from public YellowPages city/business-listings page visible in web result. Bulk pages often include duplicates, chains, government offices, schools, churches, public entities, and outdated records.",not_found_in_latest_deploy_by_exact_name,,
New Mexico State Government,Raton,Colfax,NM,unspecified,Unknown: needs local check,2,Call or visit once to confirm whether the location is public-facing and accepts community materials.,Unknown,Unknown,Unknown,Local business listing from available listing; Commercial directory page lacks enough detail.,Verify before using as an outreach recommendation.,Raton,not extracted in bulk page,not extracted in bulk page,not extracted in bulk page,https://www.yellowpages.com/raton-nm/business-listings/1,YellowPages.com bulk listing page,Raton bulk listings page 1: visible 1-200 of 271,commercial_directory_unverified,review before publishing; use as lead/listing review row,"Extracted from public YellowPages city/business-listings page visible in web result. Bulk pages often include duplicates, chains, government offices, schools, churches, public entities, and outdated records.",not_found_in_latest_deploy_by_exact_name,,
Data Plus Printing,Raton,Colfax,NM,unspecified,High: likely local flyer-friendly,5,"Ask owner/manager to post flyer near entrance/register, leave small stack, or share digital event graphic.",Low,High,Medium,Public-facing local business type with regular foot traffic and likely community-event relevance.,Good outreach candidate; still confirm before posting or leaving materials.,Raton,not extracted in bulk page,not extracted in bulk page,not extracted in bulk page,https://www.yellowpages.com/raton-nm/business-listings/1,YellowPages.com bulk listing page,Raton bulk listings page 1: visible 1-200 of 271,commercial_directory_unverified,review before publishing; use as lead/listing review row,"Extracted from public YellowPages city/business-listings page visible in web result. Bulk pages often include duplicates, chains, government offices, schools, churches, public entities, and outdated records.",not_found_in_latest_deploy_by_exact_name,,
First Presbyterian Church,Raton,Colfax,NM,unspecified,Medium: mission-fit permission,3,"Ask office/admin about community bulletin board, newsletter, or event alignment.",Low,Medium,Medium,Faith/community locations may share mission-aligned flyers but are not general advertising boards.,Use for mission/community-aligned asks only; confirm permission.,Raton,not extracted in bulk page,not extracted in bulk page,not extracted in bulk page,https://www.yellowpages.com/raton-nm/business-listings/1,YellowPages.com bulk listing page,Raton bulk listings page 1: visible 1-200 of 271,commercial_directory_unverified,review before publishing; use as lead/listing review row,"Extracted from public YellowPages city/business-listings page visible in web result. Bulk pages often include duplicates, chains, government offices, schools, churches, public entities, and outdated records.",not_found_in_latest_deploy_by_exact_name,,
"McConnell, Steven L, ATTY",Raton,Colfax,NM,unspecified,Unknown: needs local check,2,Call or visit once to confirm whether the location is public-facing and accepts community materials.,Unknown,Unknown,Unknown,Local business listing from available listing; Commercial directory page lacks enough detail.,Verify before using as an outreach recommendation.,Raton,not extracted in bulk page,not extracted in bulk page,not extracted in bulk page,https://www.yellowpages.com/raton-nm/business-listings/1,YellowPages.com bulk listing page,Raton bulk listings page 1: visible 1-200 of 271,commercial_directory_unverified,review before publishing; use as lead/listing review row,"Extracted from public YellowPages city/business-listings page visible in web result. Bulk pages often include duplicates, chains, government offices, schools, churches, public entities, and outdated records.",not_found_in_latest_deploy_by_exact_name,,
Ford Sales & Service,Raton,Colfax,NM,unspecified,Medium: ask manager,3,"Ask manager for counter stack, lobby board, staff referral, or digital share if event fits customers.",Low,Medium,Low,"Public-facing or locally useful business, but flyer permission depends on management and fit.",Review for audience fit before directing users here.,Raton,not extracted in bulk page,not extracted in bulk page,not extracted in bulk page,https://www.yellowpages.com/raton-nm/business-listings/1,YellowPages.com bulk listing page,Raton bulk listings page 1: visible 1-200 of 271,commercial_directory_unverified,review before publishing; use as lead/listing review row,"Extracted from public YellowPages city/business-listings page visible in web result. Bulk pages often include duplicates, chains, government offices, schools, churches, public entities, and outdated records.",not_found_in_latest_deploy_by_exact_name,,
UPS Drop Box,Raton,Colfax,NM,unspecified,Unknown: needs local check,2,Call or visit once to confirm whether the location is public-facing and accepts community materials.,Unknown,Unknown,Unknown,Local business listing from available listing; Commercial directory page lacks enough detail.,Verify before using as an outreach recommendation.,Raton,not extracted in bulk page,not extracted in bulk page,not extracted in bulk page,https://www.yellowpages.com/raton-nm/business-listings/1,YellowPages.com bulk listing page,Raton bulk listings page 1: visible 1-200 of 271,commercial_directory_unverified,review before publishing; use as lead/listing review row,"Extracted from public YellowPages city/business-listings page visible in web result. Bulk pages often include duplicates, chains, government offices, schools, churches, public entities, and outdated records.",not_found_in_latest_deploy_by_exact_name,,
Colfax Metal Works,Raton,Colfax,NM,unspecified,Unknown: needs local check,2,Call or visit once to confirm whether the location is public-facing and accepts community materials.,Unknown,Unknown,Unknown,Local business listing from available listing; Commercial directory page lacks enough detail.,Verify before using as an outreach recommendation.,Raton,not extracted in bulk page,not extracted in bulk page,not extracted in bulk page,https://www.yellowpages.com/raton-nm/business-listings/1,YellowPages.com bulk listing page,Raton bulk listings page 1: visible 1-200 of 271,commercial_directory_unverified,review before publishing; use as lead/listing review row,"Extracted from public YellowPages city/business-listings page visible in web result. Bulk pages often include duplicates, chains, government offices, schools, churches, public entities, and outdated records.",not_found_in_latest_deploy_by_exact_name,,
Hyde Properties,Raton,Colfax,NM,unspecified,Unknown: needs local check,2,Call or visit once to confirm whether the location is public-facing and accepts community materials.,Unknown,Unknown,Unknown,Local business listing from available listing; Commercial directory page lacks enough detail.,Verify before using as an outreach recommendation.,Raton,not extracted in bulk page,not extracted in bulk page,not extracted in bulk page,https://www.yellowpages.com/raton-nm/business-listings/1,YellowPages.com bulk listing page,Raton bulk listings page 1: visible 1-200 of 271,commercial_directory_unverified,review before publishing; use as lead/listing review row,"Extracted from public YellowPages city/business-listings page visible in web result. Bulk pages often include duplicates, chains, government offices, schools, churches, public entities, and outdated records.",not_found_in_latest_deploy_by_exact_name,,
