listing_name,category,subcategory,town_area,county,state,source_name,source_type,source_url,listing_url,website,phone,email,address,description,extraction_method,source_status,verification_note,date_checked
Aspen Gold Laundromat,All tourism directory listings,,Angel Fire,Colfax,NM,Visit Angel Fire - All Listings,Official tourism directory,https://visitangelfirenm.com/all-listings/; https://visitangelfirenm.com/all-listings/?_listing_directory_pagination=1,https://visitangelfirenm.com/listing/aspen-gold-laundromat/,,,,"3379 Mountain View Blvd,, Angel Fire, NM 87710",,browser-rendered tourism directory card,Official source checked,"Listing merged across public travel/vacation guide sources. Verify current details with the source or listing owner before outreach, publication, printing, or promising placement.",2026-06-30
Aspen Springs at Angel Fire,Accommodations/Lodging; Hotels/Motels & Lodges; Vacation Rentals/Short & Long Term,,Angel Fire,Colfax,NM,Angel Fire Chamber - Member Businesses,Chamber business directory,https://angelfirechamber.org/business/category/accommodations-lodging/; https://angelfirechamber.org/business/category/hotels-motels-lodges/; https://angelfirechamber.org/business/category/vacation-rentals-short-and-long-term/,https://angelfirechamber.org/business/aspen-springs-at-angel-fire/,https://angelfirechamber.org/business/aspen-springs-at-angel-fire/,,,,"More than just a place to stay in Angel Fire, Aspen Springs is a true mountain experience, offering premium cabin rentals. Our vacation rental – hotel hybrid approach ensures our guests experience the best lodging in Angel Fire, NM. Enjoy one of our 10 private cabins nestled on 12 wooded acres. The perfect place to unwind in quiet serenity, connect Read more...",chamber GeoDirectory category card,Official source checked,"Listing merged across public travel/vacation guide sources. Verify current details with the source or listing owner before outreach, publication, printing, or promising placement.",2026-06-30
The Bakery & Cafe,All tourism directory listings; Dining,,Angel Fire,Colfax,NM,Visit Angel Fire - All Listings; Visit Angel Fire - Dining,Official tourism directory,https://visitangelfirenm.com/all-listings/?_listing_directory_pagination=6; https://visitangelfirenm.com/dining/?_listing_directory_pagination=2,https://visitangelfirenm.com/listing/the-bakery-and-cafe/,,,,"3420 Mountain View Blvd,, Angel Fire, NM 87710",,browser-rendered tourism directory card,Official source checked,"Listing merged across public travel/vacation guide sources. Verify current details with the source or listing owner before outreach, publication, printing, or promising placement.",2026-06-30
The Bakery & Cafe @ Angel Fire,Dining; Restaurants,,Angel Fire,Colfax,NM,Angel Fire Chamber - Member Businesses,Chamber business directory,https://angelfirechamber.org/business/category/dining/page/2/; https://angelfirechamber.org/business/category/restaurants/page/2/,https://angelfirechamber.org/business/the-bakery-cafe-angel-fire/,https://angelfirechamber.org/business/the-bakery-cafe-angel-fire/,,,,"The Bakery & Cafe @ Angel Fire has been a staple of Angel Fire for the last 25 years. Enjoy indoor dining or takeout, we offer the same great food and baked goods you’ve come to expect. Stop by for a hot cup of coffee and warm service. Read more...",chamber GeoDirectory category card,Official source checked,"Listing merged across public travel/vacation guide sources. Verify current details with the source or listing owner before outreach, publication, printing, or promising placement.",2026-06-30
Big River Raft Trips,Activities/Recreation; All tourism directory listings,,Angel Fire,Colfax,NM,Angel Fire Chamber - Member Businesses; Visit Angel Fire - All Listings,Chamber business directory; Official tourism directory,https://angelfirechamber.org/business/category/activities-recreation/; https://visitangelfirenm.com/all-listings/; https://visitangelfirenm.com/all-listings/?_listing_directory_pagination=1,https://angelfirechamber.org/business/big-river-raft-trips/; https://visitangelfirenm.com/listing/big-river-raft-trips/,https://angelfirechamber.org/business/big-river-raft-trips/,,,"13 Cam del Rio Grande,, Embudo, NM 87531",Whitewater river rafting trips & guided tours on the Rio Grande. Just twenty minutes south of Taos! Read more...,browser-rendered tourism directory card,Official source checked,"Listing merged across public travel/vacation guide sources. Verify current details with the source or listing owner before outreach, publication, printing, or promising placement.",2026-06-30
Blue Dawg Furnishings,All tourism directory listings; Shopping,,Angel Fire,Colfax,NM,Visit Angel Fire - All Listings; Visit Angel Fire - Shopping,Official tourism directory,https://visitangelfirenm.com/all-listings/; https://visitangelfirenm.com/all-listings/?_listing_directory_pagination=1; https://visitangelfirenm.com/shopping/; https://visitangelfirenm.com/shopping/?_listing_directory_pagination=1,https://visitangelfirenm.com/listing/blue-dawg-furnishings/,,,,"57 Flamingo Road,, Angel Fire, NM 87710",,browser-rendered tourism directory card,Official source checked,"Listing merged across public travel/vacation guide sources. Verify current details with the source or listing owner before outreach, publication, printing, or promising placement.",2026-06-30
Bluebird Mountain Sports (Ski Tech),All tourism directory listings; Shopping,,Angel Fire,Colfax,NM,Visit Angel Fire - All Listings; Visit Angel Fire - Shopping,Official tourism directory,https://visitangelfirenm.com/all-listings/?_listing_directory_pagination=5; https://visitangelfirenm.com/shopping/?_listing_directory_pagination=2,https://visitangelfirenm.com/listing/ski-tech-bluebird-mountain-sports/,,,,"52 N Angel Fire Rd # 10,, Angel Fire, NM 87710",,browser-rendered tourism directory card,Official source checked,"Listing merged across public travel/vacation guide sources. Verify current details with the source or listing owner before outreach, publication, printing, or promising placement.",2026-06-30
Bobcat Pass Wilderness Adventures,Activities/Recreation,,Angel Fire,Colfax,NM,Angel Fire Chamber - Member Businesses,Chamber business directory,https://angelfirechamber.org/business/category/activities-recreation/,https://angelfirechamber.org/business/bobcat-pass-wilderness-adventures/,https://angelfirechamber.org/business/bobcat-pass-wilderness-adventures/,,,,"Horseback rides and other ranch activities. During the season, cowboy evening chuck wagon dinner with live entertainment. 4-wheeler tours, snowmobile tours, guided pack trips and hunts. Large vacation rental home sleeps 16. Read more...",chamber GeoDirectory category card,Official source checked,"Listing merged across public travel/vacation guide sources. Verify current details with the source or listing owner before outreach, publication, printing, or promising placement.",2026-06-30
Brenda Johnson’s Property Management,Accommodations/Lodging; Vacation Rentals/Short & Long Term,,Angel Fire,Colfax,NM,Angel Fire Chamber - Member Businesses,Chamber business directory,https://angelfirechamber.org/business/category/accommodations-lodging/; https://angelfirechamber.org/business/category/vacation-rentals-short-and-long-term/,https://angelfirechamber.org/business/brenda-johnsons-property-management/,https://angelfirechamber.org/business/brenda-johnsons-property-management/,,,,"Full Service Real Estate sales and property management, and home care Read more...",chamber GeoDirectory category card,Official source checked,"Listing merged across public travel/vacation guide sources. Verify current details with the source or listing owner before outreach, publication, printing, or promising placement.",2026-06-30
Cabin Comforts,All tourism directory listings,,Angel Fire,Colfax,NM,Visit Angel Fire - All Listings,Official tourism directory,https://visitangelfirenm.com/all-listings/?_listing_directory_pagination=2,https://visitangelfirenm.com/listing/cabin-comforts/,,,,"#12 Agua Road, PO Box 882, Angel Fire, New Mexico 87710",,browser-rendered tourism directory card,Official source checked,"Listing merged across public travel/vacation guide sources. Verify current details with the source or listing owner before outreach, publication, printing, or promising placement.",2026-06-30
Capulin Camp & RV Park,All tourism directory listings,,Angel Fire,Colfax,NM,Visit Angel Fire - All Listings,Official tourism directory,https://visitangelfirenm.com/all-listings/?_listing_directory_pagination=2,https://visitangelfirenm.com/listing/capulin-camp-rv-park/,,,,"7 S Santa Fe Ave, Capulin, NM, United States, 88414",,browser-rendered tourism directory card,Official source checked,"Listing merged across public travel/vacation guide sources. Verify current details with the source or listing owner before outreach, publication, printing, or promising placement.",2026-06-30
Casa de Artesanias,Gift Shops; Specialty Retail Shops,,Angel Fire,Colfax,NM,Angel Fire Chamber - Member Businesses,Chamber business directory,https://angelfirechamber.org/business/category/gift-shops/; https://angelfirechamber.org/business/category/specialty-shops,https://angelfirechamber.org/business/casa-de-artisianias-y-textiles/,https://angelfirechamber.org/business/casa-de-artisianias-y-textiles/,,,,"Imports: Warm soft blankets, purses, clothing Read more...",chamber GeoDirectory category card,Official source checked,"Listing merged across public travel/vacation guide sources. Verify current details with the source or listing owner before outreach, publication, printing, or promising placement.",2026-06-30
Chisum Group | Berkshire Hathaway HomeServices,All tourism directory listings,,Angel Fire,Colfax,NM,Visit Angel Fire - All Listings,Official tourism directory,https://visitangelfirenm.com/all-listings/?_listing_directory_pagination=2,https://visitangelfirenm.com/listing/chisum-group-berkshire-hathaway-homeservices-angel-fire-real-estate/,,,,"6 First National Place,, Angel Fire, NM 87710",,browser-rendered tourism directory card,Official source checked,"Listing merged across public travel/vacation guide sources. Verify current details with the source or listing owner before outreach, publication, printing, or promising placement.",2026-06-30
Cimarron Canyon State Park,All tourism directory listings,,Angel Fire,Colfax,NM,Visit Angel Fire - All Listings,Official tourism directory,https://visitangelfirenm.com/all-listings/?_listing_directory_pagination=2,https://visitangelfirenm.com/listing/cimarron-canyon-state-park/,,,,"28869 US-64, Eagle Nest, NM 87718",,browser-rendered tourism directory card,Official source checked,"Listing merged across public travel/vacation guide sources. Verify current details with the source or listing owner before outreach, publication, printing, or promising placement.",2026-06-30
Clean AF LLC,All tourism directory listings,,Angel Fire,Colfax,NM,Visit Angel Fire - All Listings,Official tourism directory,https://visitangelfirenm.com/all-listings/?_listing_directory_pagination=2,https://visitangelfirenm.com/listing/clean-af-llc/,,,,"12 Crestview Dr, Suite 1E, Angel Fire, New Mexico 87710",,browser-rendered tourism directory card,Official source checked,"Listing merged across public travel/vacation guide sources. Verify current details with the source or listing owner before outreach, publication, printing, or promising placement.",2026-06-30
Coldwell Banker Mountain Properties,All tourism directory listings,,Angel Fire,Colfax,NM,Visit Angel Fire - All Listings,Official tourism directory,https://visitangelfirenm.com/all-listings/?_listing_directory_pagination=2,https://visitangelfirenm.com/listing/coldwell-banker-mountain-properties/,,,,"3375 Mountain View Boulevard, Angel Fire, NM 87710",,browser-rendered tourism directory card,Official source checked,"Listing merged across public travel/vacation guide sources. Verify current details with the source or listing owner before outreach, publication, printing, or promising placement.",2026-06-30
Community Center Park,All tourism directory listings,,Angel Fire,Colfax,NM,Visit Angel Fire - All Listings,Official tourism directory,https://visitangelfirenm.com/all-listings/?_listing_directory_pagination=2,https://visitangelfirenm.com/listing/community-center-park/,,,,"15 CS Ranch Rd,, Angel Fire, NM 87710",,browser-rendered tourism directory card,Official source checked,"Listing merged across public travel/vacation guide sources. Verify current details with the source or listing owner before outreach, publication, printing, or promising placement.",2026-06-30
Cottam’s of Angel Fire,All tourism directory listings; Shopping,,Angel Fire,Colfax,NM,Visit Angel Fire - All Listings; Visit Angel Fire - Shopping,Official tourism directory,https://visitangelfirenm.com/all-listings/?_listing_directory_pagination=2; https://visitangelfirenm.com/shopping/; https://visitangelfirenm.com/shopping/?_listing_directory_pagination=1,https://visitangelfirenm.com/listing/cottams-of-angel-fire/,,,,"40 N Angel Fire Rd,, Angel Fire, NM 87710",,browser-rendered tourism directory card,Official source checked,"Listing merged across public travel/vacation guide sources. Verify current details with the source or listing owner before outreach, publication, printing, or promising placement.",2026-06-30
Coyote Creek State Park,All tourism directory listings,,Angel Fire,Colfax,NM,Visit Angel Fire - All Listings,Official tourism directory,https://visitangelfirenm.com/all-listings/?_listing_directory_pagination=2,https://visitangelfirenm.com/listing/coyote-creek-state-park/,,,,"Highway 434, Mile Marker 17, Guadalupita, NM 87722",,browser-rendered tourism directory card,Official source checked,"Listing merged across public travel/vacation guide sources. Verify current details with the source or listing owner before outreach, publication, printing, or promising placement.",2026-06-30
Dan’s Flooring & Window Covering Inc.,Specialty Retail Shops,,Angel Fire,Colfax,NM,Angel Fire Chamber - Member Businesses,Chamber business directory,https://angelfirechamber.org/business/category/specialty-shops,https://angelfirechamber.org/business/dons-flooring-window-covering-inc/,https://angelfirechamber.org/business/dons-flooring-window-covering-inc/,,,,"Flooring- Luxury Vinyl, Hardwood, Tile, Carpet Fireplaces- Wood Stoves, Pellet stoves Window Coverings & Installation- Counter Tops Cookware Outdoor Kitchens Read more...",chamber GeoDirectory category card,Official source checked,"Listing merged across public travel/vacation guide sources. Verify current details with the source or listing owner before outreach, publication, printing, or promising placement.",2026-06-30
Desert Sky Realty & Investments,All tourism directory listings,,Angel Fire,Colfax,NM,Visit Angel Fire - All Listings,Official tourism directory,https://visitangelfirenm.com/all-listings/?_listing_directory_pagination=2,https://visitangelfirenm.com/listing/desert-sky-realty-investments/,,,,"626 North Alameda Boulevard, Las Cruces, New Mexico 88005, United States",,browser-rendered tourism directory card,Official source checked,"Listing merged across public travel/vacation guide sources. Verify current details with the source or listing owner before outreach, publication, printing, or promising placement.",2026-06-30
Dollar General,All tourism directory listings; Shopping,,Angel Fire,Colfax,NM,Visit Angel Fire - All Listings; Visit Angel Fire - Shopping,Official tourism directory,https://visitangelfirenm.com/all-listings/?_listing_directory_pagination=2; https://visitangelfirenm.com/shopping/; https://visitangelfirenm.com/shopping/?_listing_directory_pagination=1,https://visitangelfirenm.com/listing/dollar-general/,,,,"3400 Mountain View Blvd,, Angel Fire, NM 87710",,browser-rendered tourism directory card,Official source checked,"Listing merged across public travel/vacation guide sources. Verify current details with the source or listing owner before outreach, publication, printing, or promising placement.",2026-06-30
Eagle Nest Mercantile,Artists/Galleries/Studios; Gift Shops,,Angel Fire,Colfax,NM,Angel Fire Chamber - Member Businesses,Chamber business directory,https://angelfirechamber.org/business/category/artists-galleries-studios/; https://angelfirechamber.org/business/category/gift-shops/,https://angelfirechamber.org/business/eagle-nest-mercantile/,https://angelfirechamber.org/business/eagle-nest-mercantile/,,,,"Unique gifts from New Mexico The Merc is a treasure-hunter’s dream. Part Eclectic gift boutique, part art gallery. Gifts, regional and local art, home decor, southwestern jewelry and beads, rocks, candles, smudge sticks, crystals, handmades, OOAK’s, and more… We also offer art classes during the summer taught by local & visiting artists and artisans. Read more...",chamber GeoDirectory category card,Official source checked,"Listing merged across public travel/vacation guide sources. Verify current details with the source or listing owner before outreach, publication, printing, or promising placement.",2026-06-30
El Jefe,All tourism directory listings; Dining; Restaurants,,Angel Fire,Colfax,NM,Angel Fire Chamber - Member Businesses; Visit Angel Fire - All Listings; Visit Angel Fire - Dining,Chamber business directory; Official tourism directory,https://angelfirechamber.org/business/category/dining/; https://angelfirechamber.org/business/category/restaurants/page/2/; https://visitangelfirenm.com/all-listings/?_listing_directory_pagination=2; https://visitangelfirenm.com/dining/; https://visitangelfirenm.com/dining/?_listing_directory_pagination=1,https://angelfirechamber.org/business/el-jefe/; https://visitangelfirenm.com/listing/el-jefe/,https://angelfirechamber.org/business/el-jefe/,,,"Across from the Chile Express Chair Lift, 10 Five Springs Rd,, Angel Fire, NM 87710","El Jefe is a fresh-Mex taqueria and Mexican themed bar. Enjoy a variety of delicious tacos & burritos, and a great selection of cocktails, tequilas, tap and bottled beers, and more. Located across the street from the Chile Express Chairlift at the base of the mountain. Friendly staff and outdoor patio with a view of the ski/bike mountain. Read more...",browser-rendered tourism directory card,Official source checked,"Listing merged across public travel/vacation guide sources. Verify current details with the source or listing owner before outreach, publication, printing, or promising placement.",2026-06-30
Elements,All tourism directory listings; Dining; Restaurants,,Angel Fire,Colfax,NM,Angel Fire Chamber - Member Businesses; Visit Angel Fire - All Listings; Visit Angel Fire - Dining,Chamber business directory; Official tourism directory,https://angelfirechamber.org/business/category/dining/page/2/; https://angelfirechamber.org/business/category/restaurants/page/2/; https://visitangelfirenm.com/all-listings/?_listing_directory_pagination=2; https://visitangelfirenm.com/dining/; https://visitangelfirenm.com/dining/?_listing_directory_pagination=1,https://angelfirechamber.org/business/elements/; https://visitangelfirenm.com/listing/elements/,https://angelfirechamber.org/business/elements/,,,"100 Country Club Dr., Angel Fire, NM,","Note: We will be open monday March 16 and Tuesday March 17 during Spring Break. Elements fine dining is located upstairs at the Angel Fire Country Club offers fine dining in a casual but spacious setting. Dine outside and enjoy our majestic view of Wheeler Peak of the Sangre de Cristo Mountains, sip a cocktail in our upscale bar, or Read more...",browser-rendered tourism directory card,Official source checked,"Listing merged across public travel/vacation guide sources. Verify current details with the source or listing owner before outreach, publication, printing, or promising placement.",2026-06-30
Elevated Pour,All tourism directory listings; Dining,,Angel Fire,Colfax,NM,Visit Angel Fire - All Listings; Visit Angel Fire - Dining,Official tourism directory,https://visitangelfirenm.com/all-listings/?_listing_directory_pagination=2; https://visitangelfirenm.com/dining/; https://visitangelfirenm.com/dining/?_listing_directory_pagination=1,https://visitangelfirenm.com/listing/elevated-pour/,,,,"3365 Mountain View Blvd #4, Angel Fire, NM 87710",,browser-rendered tourism directory card,Official source checked,"Listing merged across public travel/vacation guide sources. Verify current details with the source or listing owner before outreach, publication, printing, or promising placement.",2026-06-30
Enchanted Circle Campground,All tourism directory listings,,Angel Fire,Colfax,NM,Visit Angel Fire - All Listings,Official tourism directory,https://visitangelfirenm.com/all-listings/?_listing_directory_pagination=2,https://visitangelfirenm.com/listing/enchanted-circle-campground/,,,,"3024 NM HWY 434, Angel Fire, New Mexico 87710",,browser-rendered tourism directory card,Official source checked,"Listing merged across public travel/vacation guide sources. Verify current details with the source or listing owner before outreach, publication, printing, or promising placement.",2026-06-30
Enchanted Circle Campground & RV Park,All tourism directory listings,,Angel Fire,Colfax,NM,Visit Angel Fire - All Listings,Official tourism directory,https://visitangelfirenm.com/all-listings/?_listing_directory_pagination=2,https://visitangelfirenm.com/listing/enchanted-circle-campground-rv-park/,,,,"3024 NM-434, Angel Fire, NM 87710",,browser-rendered tourism directory card,Official source checked,"Listing merged across public travel/vacation guide sources. Verify current details with the source or listing owner before outreach, publication, printing, or promising placement.",2026-06-30
