entry_id,name,aliases,county,town,state,category,entry_type,description,websites,emails,phones,addresses,source_urls,audiences,keywords,marketing_channels,notes_for_use,source_count,merged_from
everything-0015-a-w-all-american-food,A&W All-American Food,[],Huerfano,Walsenburg,CO,Local business listing,Listing,"Restaurant or dining business in Walsenburg, Huerfano, CO. Use it to find existing public listings, visitor pages, and organization contacts before creating a new outreach list.",[],[],[],[],['https://www.yellowpages.com/walsenburg-co/business-listings/1'],"['Businesses', 'Programs', 'Visitors and tourists', 'Businesses and entrepreneurs', 'Nonprofits and community programs', 'Event organizers', 'Local residents']","['Local business listing', 'Local resource', 'Add / Correct Info', 'Improve Online Visibility', 'Promote Something', 'Reach People Offline', 'Start Something', 'Walsenburg', 'Huerfano', 'business', 'dining', 'directory', 'event', 'flyer', 'outreach', 'restaurant', 'visitor', 'unspecified']","['Ask about physical flyer or poster placement', 'Ask about digital listing or social sharing', 'Ask about event calendar or visitor listing', 'Ask in person before leaving materials', 'Ask about a digital share or listing update']","Ask owner/manager to post flyer near entrance/register, leave small stack, or share digital event graphic.",1,"['guide resource directory', 'commercial directory sweep']"
everything-0016-a-1-automatics-towing,A-1 Automatics & Towing,[],Las Animas,Trinidad,CO,Local business listing,Listing,"Visitor or recreation route in Trinidad, Las Animas, CO. Use it to find existing public listings, visitor pages, and organization contacts before creating a new outreach list.",[],[],[],[],['https://www.yellowpages.com/trinidad-co/business-listings/1'],"['Businesses', 'Programs', 'Visitors and tourists', 'Businesses and entrepreneurs', 'Nonprofits and community programs', 'Event organizers', 'Local residents']","['Local business listing', 'Local resource', 'Add / Correct Info', 'Improve Online Visibility', 'Promote Something', 'Reach People Offline', 'Start Something', 'Trinidad', 'Las Animas', 'business', 'directory', 'event', 'flyer', 'outreach', 'visitor', 'unspecified']","['Ask about digital listing or social sharing', 'Ask about event calendar or visitor listing', 'Ask in person before leaving materials']","Ask manager for counter stack, lobby board, staff referral, or digital share if event fits customers.",1,"['guide resource directory', 'commercial directory sweep']"
everything-0017-a-r-mitchell-museum-of-western-art,A.R. Mitchell Museum of Western Art,[],Colfax,Raton,NM,Museums and historic sites,Listing,"Public travel or tourism listing. Check current details with the listed page or business before outreach, publication, printing, or promising placement.",[],[],[],[],['https://www.exploreraton.com/history'],"['Artists', 'Creative businesses', 'Entrepreneurs', 'Businesses', 'Nonprofits', 'Programs', 'Visitors and tourists', 'Artists and creative businesses', 'Businesses and entrepreneurs', 'Nonprofits and community programs', 'Local residents']","['Museums and historic sites', 'Visitor-facing listing', 'Add / Correct Info', 'Improve Online Visibility', 'Promote Something', 'Reach People Offline', 'Start Something', 'Raton', 'Colfax', 'artist', 'business', 'creative business', 'outreach', 'tourism', 'visitor']","['Ask about physical flyer or poster placement', 'Ask about digital listing or social sharing', 'Ask about event calendar or visitor listing', 'Ask about creative or cultural cross-promotion', 'Ask about visitor-facing updates']","Check current details with the listed source or organization before spending money, printing materials, or promising placement.",1,"['guide resource directory', 'Explore Raton - History']"
everything-0018-a-r-mitchell-museum-of-western-art,A.R. Mitchell Museum of Western Art,[],Las Animas,Trinidad,CO,Museum / gallery; Museum and Western art institution,Listing,"Creative-directory listings added from a public local arts, tourism, chamber, creative-district, or maker directory. Open the page and confirm current hours, contact route, listing status, submission path, and availability before outreach, spending, printing,...","['https://armitchellmuseum.com/', 'https://www.armitchellmuseum.com']",['armitchellmuseum@gmail.com'],['719-846-4224'],"['150 E Main St, Trinidad, CO 81082; 150 E. Main St., Trinidad, CO']","['https://armitchellmuseum.com/', 'https://www.trinidadcreativedistrict.org/arts-in-the-trinidad-colorado-community']","['Artists', 'Arts and culture audiences', 'Businesses', 'Nonprofits', 'Programs', 'Visitors and tourists', 'Artists and creative businesses', 'Businesses and entrepreneurs', 'Nonprofits and community programs', 'Local residents']","['Museum / gallery', 'Museum and Western art institution', 'Museum / Creative', 'Add / Correct Info', 'Get Media Coverage', 'Improve Online Visibility', 'Promote Something', 'Reach People Offline', 'Start Something', 'Trinidad', 'Las Animas', 'artist', 'arts', 'chamber', 'creative district', 'directory', 'gallery', 'maker', 'media', 'outreach', 'tourism', 'visitor']","['Ask about physical flyer or poster placement', 'Ask about digital listing or social sharing', 'Ask about event calendar or visitor listing', 'Ask about media, newsletter, or calendar placement', 'Ask about business directory or partner referral', 'Ask about creative or cultural cross-promotion']","Check current details with the listed source or organization before spending money, printing materials, or promising placement.",2,['guide resource directory']
everything-0019-ace-hardware,Ace Hardware,[],Las Animas,Aguilar,CO,Local business listing,Listing,"Visitor or recreation route in Aguilar, Las Animas, CO. Use it to find existing public listings, visitor pages, and organization contacts before creating a new outreach list.",[],[],[],[],['https://www.yellowpages.com/aguilar-co'],"['Businesses', 'Programs', 'Visitors and tourists', 'Businesses and entrepreneurs', 'Nonprofits and community programs', 'Local residents']","['Local business listing', 'Local resource', 'Add / Correct Info', 'Improve Online Visibility', 'Promote Something', 'Reach People Offline', 'Start Something', 'Aguilar', 'Las Animas', 'advertising', 'business', 'directory', 'flyer', 'outreach', 'visitor', 'unspecified']","['Ask about physical flyer or poster placement', 'Ask about digital listing or social sharing', 'Ask about event calendar or visitor listing', 'Confirm manager or owner permission first']",Do not assume flyers allowed. Ask local manager only for community-board exception or donation/sponsorship route.,1,"['guide resource directory', 'commercial directory sweep']"
everything-0020-ace-hi-tavern,Ace-Hi Tavern,[],Las Animas,Aguilar,CO,Bar,Listing,"Restaurant or dining business in Aguilar, Las Animas, CO. It is useful for visitor referrals, local event outreach, shop-local campaigns, and cross-promotion questions that fit the business.",[],[],[],['151 E. Main Street'],[],"['Businesses', 'Nonprofits', 'Programs', 'Businesses and entrepreneurs', 'Nonprofits and community programs', 'Visitors and tourists', 'Event organizers', 'Local residents']","['Bar', 'Promotion', 'Improve Online Visibility', 'Promote Something', 'Reach People Offline', 'Start Something', 'Aguilar', 'Las Animas', 'business', 'dining', 'event', 'outreach', 'restaurant', 'service', 'visitor']","['Ask about physical flyer or poster placement', 'Ask about digital listing or social sharing', 'Ask about event calendar or visitor listing']","Check current details with the listed source or organization before spending money, printing materials, or promising placement.",1,['guide resource directory']
everything-0021-acorn,Acorn,[],Huerfano,La Veta,CO,Local business listing,Listing,"Visitor or recreation route in La Veta, Huerfano, CO. Use it to find existing public listings, visitor pages, and organization contacts before creating a new outreach list.",[],[],[],[],['https://www.yellowpages.com/la-veta-co'],"['Businesses', 'Programs', 'Visitors and tourists', 'Businesses and entrepreneurs', 'Nonprofits and community programs', 'Local residents']","['Local business listing', 'Local resource', 'Add / Correct Info', 'Improve Online Visibility', 'Promote Something', 'Reach People Offline', 'Start Something', 'La Veta', 'Huerfano', 'business', 'directory', 'flyer', 'outreach', 'visitor', 'unspecified']","['Ask about digital listing or social sharing', 'Ask about event calendar or visitor listing', 'Confirm manager or owner permission first']",Call or visit once to confirm whether the location is public-facing and accepts community materials.,1,"['guide resource directory', 'commercial directory sweep']"
everything-0022-acorn-petroleum-inc,Acorn Petroleum Inc,[],Huerfano,Walsenburg,CO,Local business listing,Listing,"Visitor or recreation route in Walsenburg, Huerfano, CO. Use it to find existing public listings, visitor pages, and organization contacts before creating a new outreach list.",[],[],[],[],['https://www.yellowpages.com/walsenburg-co/business-listings/1'],"['Businesses', 'Programs', 'Visitors and tourists', 'Businesses and entrepreneurs', 'Nonprofits and community programs', 'Local residents']","['Local business listing', 'Local resource', 'Add / Correct Info', 'Improve Online Visibility', 'Promote Something', 'Reach People Offline', 'Start Something', 'Walsenburg', 'Huerfano', 'business', 'directory', 'flyer', 'outreach', 'visitor', 'unspecified']","['Ask about digital listing or social sharing', 'Ask about event calendar or visitor listing', 'Confirm manager or owner permission first']",Call or visit once to confirm whether the location is public-facing and accepts community materials.,1,"['guide resource directory', 'commercial directory sweep']"
everything-0023-adt-security,ADT Security,[],Huerfano,Walsenburg,CO,Local business listing,Listing,"Visitor or recreation route in Walsenburg, Huerfano, CO. Use it to find existing public listings, visitor pages, and organization contacts before creating a new outreach list.",[],[],[],[],['https://www.yellowpages.com/walsenburg-co/business-listings/1'],"['Businesses', 'Programs', 'Visitors and tourists', 'Businesses and entrepreneurs', 'Nonprofits and community programs', 'Local residents']","['Local business listing', 'Local resource', 'Add / Correct Info', 'Improve Online Visibility', 'Promote Something', 'Reach People Offline', 'Start Something', 'Walsenburg', 'Huerfano', 'business', 'directory', 'flyer', 'outreach', 'visitor', 'unspecified']","['Ask about digital listing or social sharing', 'Ask about event calendar or visitor listing', 'Confirm manager or owner permission first']",Call or visit once to confirm whether the location is public-facing and accepts community materials.,1,"['guide resource directory', 'commercial directory sweep']"
everything-0024-advance-america,Advance America,[],Las Animas,Trinidad,CO,Local business listing,Listing,"Visitor or recreation route in Trinidad, Las Animas, CO. Use it to find existing public listings, visitor pages, and organization contacts before creating a new outreach list.",[],[],[],[],['https://www.yellowpages.com/trinidad-co/business-listings/1'],"['Businesses', 'Programs', 'Visitors and tourists', 'Businesses and entrepreneurs', 'Nonprofits and community programs', 'Local residents']","['Local business listing', 'Local resource', 'Add / Correct Info', 'Improve Online Visibility', 'Promote Something', 'Reach People Offline', 'Start Something', 'Trinidad', 'Las Animas', 'business', 'directory', 'flyer', 'outreach', 'visitor', 'unspecified']","['Ask about digital listing or social sharing', 'Ask about event calendar or visitor listing', 'Confirm manager or owner permission first']",Call or visit once to confirm whether the location is public-facing and accepts community materials.,1,"['guide resource directory', 'commercial directory sweep']"
everything-0025-advance-auto-parts,Advance Auto Parts,[],Huerfano,Walsenburg,CO,Local business listing,Listing,"Arts or creative business in Walsenburg, Huerfano, CO. Use it to find creative organizations, artist-facing pages, cultural venues, and possible collaboration routes.",[],[],[],[],['https://www.yellowpages.com/walsenburg-co/business-listings/1'],"['Businesses', 'Programs', 'Visitors and tourists', 'Artists and creative businesses', 'Businesses and entrepreneurs', 'Nonprofits and community programs', 'Event organizers', 'Local residents']","['Local business listing', 'Local resource', 'Add / Correct Info', 'Improve Online Visibility', 'Promote Something', 'Reach People Offline', 'Start Something', 'Walsenburg', 'Huerfano', 'artist', 'arts', 'business', 'creative business', 'directory', 'event', 'flyer', 'outreach', 'venue', 'visitor', 'unspecified']","['Ask about physical flyer or poster placement', 'Ask about digital listing or social sharing', 'Ask about event calendar or visitor listing', 'Ask about creative or cultural cross-promotion', 'Ask in person before leaving materials', 'Ask about a digital share or listing update']","Ask owner/manager to post flyer near entrance/register, leave small stack, or share digital event graphic.",1,"['guide resource directory', 'commercial directory sweep']"
everything-0026-advanced-climate-solutions,Advanced Climate Solutions,[],Las Animas,Trinidad,CO,Local business listing,Listing,"Visitor or recreation route in Trinidad, Las Animas, CO. Use it to find existing public listings, visitor pages, and organization contacts before creating a new outreach list.",[],[],[],[],['https://www.yellowpages.com/trinidad-co/business-listings/1'],"['Businesses', 'Programs', 'Visitors and tourists', 'Businesses and entrepreneurs', 'Nonprofits and community programs', 'Local residents']","['Local business listing', 'Local resource', 'Add / Correct Info', 'Improve Online Visibility', 'Promote Something', 'Reach People Offline', 'Start Something', 'Trinidad', 'Las Animas', 'business', 'directory', 'flyer', 'outreach', 'visitor', 'unspecified']","['Ask about digital listing or social sharing', 'Ask about event calendar or visitor listing', 'Confirm manager or owner permission first']",Call or visit once to confirm whether the location is public-facing and accepts community materials.,1,"['guide resource directory', 'commercial directory sweep']"
everything-0027-adventure-guide,Adventure Guide,[],Colfax,Raton,NM,Travel guide businesses and attractions,Listing,"Public travel or tourism listing. Check current details with the listed page or business before outreach, publication, printing, or promising placement.",[],[],[],[],['https://www.newmexico.org/places-to-visit/regions/northeast/raton/'],"['Artists', 'Creative businesses', 'Entrepreneurs', 'Businesses', 'Nonprofits', 'Programs', 'Visitors and tourists', 'Artists and creative businesses', 'Businesses and entrepreneurs', 'Nonprofits and community programs', 'Local residents']","['Travel guide businesses and attractions', 'Visitor-facing listing', 'Add / Correct Info', 'Improve Online Visibility', 'Promote Something', 'Reach People Offline', 'Start Something', 'Raton', 'Colfax', 'artist', 'business', 'creative business', 'outreach', 'tourism', 'visitor']","['Ask about digital listing or social sharing', 'Ask about event calendar or visitor listing', 'Ask about creative or cultural cross-promotion', 'Ask about visitor-facing updates']","Check current details with the listed source or organization before spending money, printing materials, or promising placement.",1,"['guide resource directory', 'New Mexico True - Raton']"
everything-0028-aguilar-bakery-cafe,Aguilar Bakery & Cafe,[],Las Animas,Aguilar,CO,Bakery / cafe,Listing,"Cafe or coffee stop in Aguilar, Las Animas, CO. Use it to find the public page, organization, office, or listing path that best matches the task.",[],[],[],['111 Main Street'],[],"['Businesses', 'Nonprofits', 'Programs', 'Nonprofits and community programs', 'Local residents']","['Bakery / cafe', 'Resource', 'Improve Online Visibility', 'Start Something', 'Aguilar', 'Las Animas', 'bakery']","['Ask about physical flyer or poster placement', 'Ask about digital listing or social sharing']","Check current details with the listed source or organization before spending money, printing materials, or promising placement.",1,['guide resource directory']
