id,resource_name,category,town,county,state,website,contact_email,contact_phone,physical_address,source_url,source_type,last_verified_date,notes,needs_follow_up,resource_type,audience_served,cost_level,access_mode,goal_relevance,has_public_source,travel_listing_sources,best_for,description,source_status,verification_status,yellowpages_outreach_score,yellowpages_flyer_likelihood,yellowpages_digital_distribution_likelihood,yellowpages_recommended_action,yellowpages_policy_risk,yellowpages_review_reason,yellowpages_end_user_warning,directory_sweep_source_file,yellowpages_verification_status
travel-guide-allen-fields-sports-complex-angel-fire-colfax,Allen Fields Sports Complex,All tourism directory listings,Angel Fire,Colfax,NM,https://visitangelfirenm.com/listing/allen-fields-sports-complex/,,,"30 Camino Grande,, Angel Fire, NM 87710, USA",https://visitangelfirenm.com/all-listings/; https://visitangelfirenm.com/all-listings/?_listing_directory_pagination=1; https://visitangelfirenm.com/listing/allen-fields-sports-complex/,Official tourism directory,2026-06-30,"Public travel or tourism listing. Check current details with the listed page or business before outreach, publication, printing, or promising placement.",true,Visitor-facing listing,Artist; Creative business; Entrepreneur; For-Profit; Non-Profit; Program; Visitors / tourists,Unknown / verify,Online + Physical,Add / Correct Info; Improve Online Visibility; Promote Something; Reach People Offline; Start Something,True,Visit Angel Fire - All Listings,"Public travel or tourism listing. Check current details with the listed page or business before outreach, publication, printing, or promising placement.","Public travel or tourism listing. Check current details with the listed page or business before outreach, publication, printing, or promising placement.",,,,,,,,,,,
travel-guide-alpine-lumber-angel-fire-colfax,Alpine Lumber Company,All tourism directory listings; Shopping,Angel Fire,Colfax,NM,https://visitangelfirenm.com/listing/alpine-lumber-company/,,,"3433 NM-434,, Angel Fire, NM 87710",https://visitangelfirenm.com/all-listings/; https://visitangelfirenm.com/all-listings/?_listing_directory_pagination=1; https://visitangelfirenm.com/listing/alpine-lumber-company/; https://visitangelfirenm.com/shopping/; https://visitangelfirenm.com/shopping/?_listing_directory_pagination=1; https://www.yellowpages.com/angel-fire-nm/business-listings/1,Official tourism directory; YellowPages commercial-directory sweep,2026-06-30,"Public travel or tourism listing. Check current details with the listed page or business before outreach, publication, printing, or promising placement. Commercial-directory sweep also surfaced this listing; treat that signal as a listing review cue, not as independent verification.",true,Visitor-facing listing,Artist; Creative business; Entrepreneur; For-Profit; Non-Profit; Program; Visitors / tourists,Unknown / verify,Online + Physical,Add / Correct Info; Improve Online Visibility; Promote Something; Reach People Offline; Start Something,True,Visit Angel Fire - All Listings; Visit Angel Fire - Shopping,"Public travel or tourism listing. Check current details with the listed page or business before outreach, publication, printing, or promising placement. Commercial directory also surfaced this listing; treat that signal as a listing review cue, not as independent verification.","Public travel or tourism listing. Check current details with the listed page or business before outreach, publication, printing, or promising placement. Commercial directory also surfaced this listing; treat that signal as a listing review cue, not as independent verification.",,,2,Unknown: needs local check,Unknown,Call or visit once to confirm whether the location is public-facing and accepts community materials.,,,,tri_county_yellowpages_flyer_digital_outreach_scored.csv,
angel-fire-colfax-resort-and-visitor-economy-hub-with-lodging-recreation,Angel Fire,"Resort and visitor-economy hub with lodging, recreation, restaurants, grocery, real estate, rentals, and outdoor services.",Angel Fire,Colfax,NM,,,,,,Unknown,,"Restaurant or dining business in Angel Fire, Colfax, NM. It is useful for visitor referrals, local event outreach, shop-local campaigns, and cross-promotion questions that fit the business.",true,Promotion,Artist; Entrepreneur; For-Profit; Program; Visitors / tourists,Paid / commercial or permission-based,Unknown,Improve Online Visibility; Promote Something; Start Something,False,,"Restaurant or dining business in Angel Fire, Colfax, NM. It is useful for visitor referrals, local event outreach, shop-local campaigns, and cross-promotion questions that fit the business.","Restaurant or dining business in Angel Fire, Colfax, NM. It is useful for visitor referrals, local event outreach, shop-local campaigns, and cross-promotion questions that fit the business.",,,,,,,,,,,
yellowpages-lead-angel-fire-accounting-angel-fire-colfax,Angel Fire Accounting,Commercial directory lead / local business,Angel Fire,Colfax,NM,,,,,https://www.yellowpages.com/angel-fire-nm/business-listings/1,YellowPages.com bulk listing page (commercial-directory lead),2026-07-01,"Visitor or recreation route in Angel Fire, Colfax, NM. Use it to find existing public listings, visitor pages, and organization contacts before creating a new outreach list.",true,Local resource,For-Profit; Program; Visitors / tourists,Unknown / verify,Online lead,Add / Correct Info; Improve Online Visibility; Promote Something; Reach People Offline; Start Something,True,,"Visitor or recreation route in Angel Fire, Colfax, NM. Use it to find existing public listings, visitor pages, and organization contacts before creating a new outreach list.","Visitor or recreation route in Angel Fire, Colfax, NM. Use it to find existing public listings, visitor pages, and organization contacts before creating a new outreach list.",Needs manual verification,Needs manual verification,1,Low: not a flyer-first stop,Low,"Use only for direct partnership, sponsorship, board/client referral, or professional-network outreach.",Medium,"Professional, medical, industrial, utility, or appointment-based business; physical flyer posting is less likely or less useful.",Do not prioritize for public flyer distribution.,tri_county_yellowpages_flyer_digital_outreach_scored.csv,
yellowpages-lead-angel-fire-appraisers-angel-fire-colfax,Angel Fire Appraisers,Commercial directory lead / local business,Angel Fire,Colfax,NM,,,,,https://www.yellowpages.com/angel-fire-nm/business-listings/1,YellowPages.com bulk listing page (commercial-directory lead),2026-07-01,"Visitor or recreation route in Angel Fire, Colfax, NM. Use it to find existing public listings, visitor pages, and organization contacts before creating a new outreach list.",true,Local resource,For-Profit; Program; Visitors / tourists,Unknown / verify,Online lead,Add / Correct Info; Improve Online Visibility; Promote Something; Reach People Offline; Start Something,True,,"Visitor or recreation route in Angel Fire, Colfax, NM. Use it to find existing public listings, visitor pages, and organization contacts before creating a new outreach list.","Visitor or recreation route in Angel Fire, Colfax, NM. Use it to find existing public listings, visitor pages, and organization contacts before creating a new outreach list.",Needs manual verification,Needs manual verification,2,Unknown: needs local check,Unknown,Call or visit once to confirm whether the location is public-facing and accepts community materials.,Unknown,Local business listing from available listing; Commercial directory page lacks enough detail.,Verify before using as an outreach recommendation.,tri_county_yellowpages_flyer_digital_outreach_scored.csv,
yellowpages-lead-angel-fire-baptist-church-angel-fire-colfax,Angel Fire Baptist Church,Commercial directory lead / local business,Angel Fire,Colfax,NM,,,,,https://www.yellowpages.com/angel-fire-nm/business-listings/1,YellowPages.com bulk listing page (commercial-directory lead),2026-07-01,"Visitor or recreation route in Angel Fire, Colfax, NM. Use it to find existing public listings, visitor pages, and organization contacts before creating a new outreach list.",true,Local resource,For-Profit; Program; Visitors / tourists,Unknown / verify,Online lead,Add / Correct Info; Improve Online Visibility; Promote Something; Reach People Offline; Start Something,True,,"Visitor or recreation route in Angel Fire, Colfax, NM. Use it to find existing public listings, visitor pages, and organization contacts before creating a new outreach list.","Visitor or recreation route in Angel Fire, Colfax, NM. Use it to find existing public listings, visitor pages, and organization contacts before creating a new outreach list.",Needs manual verification,Needs manual verification,3,Medium: mission-fit permission,Medium,"Ask office/admin about community bulletin board, newsletter, or event alignment.",Low,Faith/community locations may share mission-aligned flyers but are not general advertising boards.,Use for mission/community-aligned asks only; confirm permission.,tri_county_yellowpages_flyer_digital_outreach_scored.csv,
angel-fire-chamber-artists-galleries-and-studios-directory-angel-fire-colfax-chamber-a,"Angel Fire Chamber Artists, Galleries, and Studios Directory",Chamber arts category directory,Angel Fire,Colfax,NM,https://angelfirechamber.org/business/category/artists-galleries-studios/,,,,https://angelfirechamber.org/business/category/artists-galleries-studios/,Chamber member directory category,2026-06-27,"Angel Fire Chamber arts category listing artists, galleries, studios, creative nonprofits, maker retail, and related businesses. Confirm current membership and contact route before outreach.",true,Digital artist directory,Artist; Arts / culture audiences; Creative business; For-Profit; Non-Profit; Program; Visitors / tourists,Unknown / verify,Online,Add / Correct Info; Find Money or Help; Improve Online Visibility; Promote Something; Start Something; Track Results,True,,"Angel Fire Chamber arts category listing artists, galleries, studios, creative nonprofits, maker retail, and related businesses. Confirm current membership and contact route before outreach.","Angel Fire Chamber arts category listing artists, galleries, studios, creative nonprofits, maker retail, and related businesses. Confirm current membership and contact route before outreach.",,,,,,,,,,,
travel-guide-angel-fire-community-center-angel-fire-colfax,Angel Fire Community Center,All tourism directory listings,Angel Fire,Colfax,NM,https://visitangelfirenm.com/listing/angel-fire-community-center/,,,"15 CS Ranch Rd,, Angel Fire, NM 87710",https://visitangelfirenm.com/all-listings/; https://visitangelfirenm.com/all-listings/?_listing_directory_pagination=1; https://visitangelfirenm.com/listing/angel-fire-community-center/,Official tourism directory,2026-06-30,"Public travel or tourism listing. Check current details with the listed page or business before outreach, publication, printing, or promising placement.",true,Visitor-facing listing,Artist; Creative business; Entrepreneur; For-Profit; Non-Profit; Program; Visitors / tourists,Unknown / verify,Online + Physical,Add / Correct Info; Improve Online Visibility; Promote Something; Reach People Offline; Start Something,True,Visit Angel Fire - All Listings,"Public travel or tourism listing. Check current details with the listed page or business before outreach, publication, printing, or promising placement.","Public travel or tourism listing. Check current details with the listed page or business before outreach, publication, printing, or promising placement.",,,,,,,,,,,
travel-guide-angel-fire-ebikes-angel-fire-colfax,Angel Fire Ebikes LLC,All tourism directory listings,Angel Fire,Colfax,NM,https://visitangelfirenm.com/listing/angel-fire-ebikes-llc/,,,"PO box 1091, Angel Fire, New Mexico 87710",https://visitangelfirenm.com/all-listings/; https://visitangelfirenm.com/all-listings/?_listing_directory_pagination=1; https://visitangelfirenm.com/listing/angel-fire-ebikes-llc/,Official tourism directory,2026-06-30,"Public travel or tourism listing. Check current details with the listed page or business before outreach, publication, printing, or promising placement.",true,Visitor-facing listing,Artist; Creative business; Entrepreneur; For-Profit; Non-Profit; Program; Visitors / tourists,Unknown / verify,Online + Physical,Add / Correct Info; Improve Online Visibility; Promote Something; Reach People Offline; Start Something,True,Visit Angel Fire - All Listings,"Public travel or tourism listing. Check current details with the listed page or business before outreach, publication, printing, or promising placement.","Public travel or tourism listing. Check current details with the listed page or business before outreach, publication, printing, or promising placement.",,,,,,,,,,,
yellowpages-lead-angel-fire-environmental-architectural-control-angel-fire-colfax,Angel Fire Environmental Architectural Control,Commercial directory lead / local business,Angel Fire,Colfax,NM,,,,,https://www.yellowpages.com/angel-fire-nm/business-listings/1,YellowPages.com bulk listing page (commercial-directory lead),2026-07-01,"Visitor or recreation route in Angel Fire, Colfax, NM. Use it to find existing public listings, visitor pages, and organization contacts before creating a new outreach list.",true,Local resource,For-Profit; Program; Visitors / tourists,Unknown / verify,Online lead,Add / Correct Info; Improve Online Visibility; Promote Something; Reach People Offline; Start Something,True,,"Visitor or recreation route in Angel Fire, Colfax, NM. Use it to find existing public listings, visitor pages, and organization contacts before creating a new outreach list.","Visitor or recreation route in Angel Fire, Colfax, NM. Use it to find existing public listings, visitor pages, and organization contacts before creating a new outreach list.",Needs manual verification,Needs manual verification,2,Unknown: needs local check,Unknown,Call or visit once to confirm whether the location is public-facing and accepts community materials.,Unknown,Local business listing from available listing; Commercial directory page lacks enough detail.,Verify before using as an outreach recommendation.,tri_county_yellowpages_flyer_digital_outreach_scored.csv,
yellowpages-lead-angel-fire-family-dentistry-angel-fire-colfax,Angel Fire Family Dentistry,Commercial directory lead / local business,Angel Fire,Colfax,NM,,,,,https://www.yellowpages.com/angel-fire-nm/business-listings/1,YellowPages.com bulk listing page (commercial-directory lead),2026-07-01,"Visitor or recreation route in Angel Fire, Colfax, NM. Use it to find existing public listings, visitor pages, and organization contacts before creating a new outreach list.",true,Local resource,For-Profit; Program; Visitors / tourists,Unknown / verify,Online lead,Add / Correct Info; Improve Online Visibility; Promote Something; Reach People Offline; Start Something,True,,"Visitor or recreation route in Angel Fire, Colfax, NM. Use it to find existing public listings, visitor pages, and organization contacts before creating a new outreach list.","Visitor or recreation route in Angel Fire, Colfax, NM. Use it to find existing public listings, visitor pages, and organization contacts before creating a new outreach list.",Needs manual verification,Needs manual verification,1,Low: not a flyer-first stop,Low,"Use only for direct partnership, sponsorship, board/client referral, or professional-network outreach.",Medium,"Professional, medical, industrial, utility, or appointment-based business; physical flyer posting is less likely or less useful.",Do not prioritize for public flyer distribution.,tri_county_yellowpages_flyer_digital_outreach_scored.csv,
travel-guide-angel-fire-homes-angel-fire-colfax,Angel Fire Homes,All tourism directory listings,Angel Fire,Colfax,NM,https://visitangelfirenm.com/listing/angel-fire-homes/,,,"3400 Mountain View,, NM-434 Suite D,, Angel Fire, NM 87710",https://visitangelfirenm.com/all-listings/; https://visitangelfirenm.com/all-listings/?_listing_directory_pagination=1; https://visitangelfirenm.com/listing/angel-fire-homes/,Official tourism directory,2026-06-30,"Public travel or tourism listing. Check current details with the listed page or business before outreach, publication, printing, or promising placement.",true,Visitor-facing listing,Artist; Creative business; Entrepreneur; For-Profit; Non-Profit; Program; Visitors / tourists,Unknown / verify,Online + Physical,Add / Correct Info; Improve Online Visibility; Promote Something; Reach People Offline; Start Something,True,Visit Angel Fire - All Listings,"Public travel or tourism listing. Check current details with the listed page or business before outreach, publication, printing, or promising placement.","Public travel or tourism listing. Check current details with the listed page or business before outreach, publication, printing, or promising placement.",,,,,,,,,,,
yellowpages-lead-angel-fire-homes-real-estate-construction-angel-fire-colfax,Angel Fire Homes Real Estate And Construction,Commercial directory lead / local business,Angel Fire,Colfax,NM,,,,,https://www.yellowpages.com/angel-fire-nm/business-listings/1,YellowPages.com bulk listing page (commercial-directory lead),2026-07-01,"Visitor or recreation route in Angel Fire, Colfax, NM. Use it to find existing public listings, visitor pages, and organization contacts before creating a new outreach list.",true,Local resource,For-Profit; Program; Visitors / tourists,Unknown / verify,Online lead,Add / Correct Info; Improve Online Visibility; Promote Something; Reach People Offline; Start Something,True,,"Visitor or recreation route in Angel Fire, Colfax, NM. Use it to find existing public listings, visitor pages, and organization contacts before creating a new outreach list.","Visitor or recreation route in Angel Fire, Colfax, NM. Use it to find existing public listings, visitor pages, and organization contacts before creating a new outreach list.",Needs manual verification,Needs manual verification,3,Medium: ask manager,Medium,"Ask manager for counter stack, lobby board, staff referral, or digital share if event fits customers.",Low,"Public-facing or locally useful business, but flyer permission depends on management and fit.",Review for audience fit before directing users here.,tri_county_yellowpages_flyer_digital_outreach_scored.csv,
yellowpages-lead-angel-fire-mini-mart-angel-fire-colfax,Angel Fire Mini-Mart,Commercial directory lead / local business,Angel Fire,Colfax,NM,,,,,https://www.yellowpages.com/angel-fire-nm/business-listings/1,YellowPages.com bulk listing page (commercial-directory lead),2026-07-01,"Visitor or recreation route in Angel Fire, Colfax, NM. Use it to find existing public listings, visitor pages, and organization contacts before creating a new outreach list.",true,Local resource,For-Profit; Program; Visitors / tourists,Unknown / verify,Online lead,Add / Correct Info; Improve Online Visibility; Promote Something; Reach People Offline; Start Something,True,,"Visitor or recreation route in Angel Fire, Colfax, NM. Use it to find existing public listings, visitor pages, and organization contacts before creating a new outreach list.","Visitor or recreation route in Angel Fire, Colfax, NM. Use it to find existing public listings, visitor pages, and organization contacts before creating a new outreach list.",Needs manual verification,Needs manual verification,5,High: likely local flyer-friendly,Medium,"Ask owner/manager to post flyer near entrance/register, leave small stack, or share digital event graphic.",Low,Public-facing local business type with regular foot traffic and likely community-event relevance.,Good outreach candidate; still confirm before posting or leaving materials.,tri_county_yellowpages_flyer_digital_outreach_scored.csv,
yellowpages-lead-angel-fire-mountain-rentals-angel-fire-colfax,Angel Fire Mountain Rentals,Commercial directory lead / local business,Angel Fire,Colfax,NM,,,,,https://www.yellowpages.com/angel-fire-nm/business-listings/1,YellowPages.com bulk listing page (commercial-directory lead),2026-07-01,"Visitor or recreation route in Angel Fire, Colfax, NM. Use it to find existing public listings, visitor pages, and organization contacts before creating a new outreach list.",true,Local resource,For-Profit; Program; Visitors / tourists,Unknown / verify,Online lead,Add / Correct Info; Improve Online Visibility; Promote Something; Reach People Offline; Start Something,True,,"Visitor or recreation route in Angel Fire, Colfax, NM. Use it to find existing public listings, visitor pages, and organization contacts before creating a new outreach list.","Visitor or recreation route in Angel Fire, Colfax, NM. Use it to find existing public listings, visitor pages, and organization contacts before creating a new outreach list.",Needs manual verification,Needs manual verification,2,Unknown: needs local check,Unknown,Call or visit once to confirm whether the location is public-facing and accepts community materials.,Unknown,Local business listing from available listing; Commercial directory page lacks enough detail.,Verify before using as an outreach recommendation.,tri_county_yellowpages_flyer_digital_outreach_scored.csv,
angel-fire-resort-colfax-recreation-tourism,Angel Fire Resort,Recreation / tourism,Angel Fire,Colfax,NM,https://angelfirechamber.org/business/hotels-motels-lodges/,,,10 Miller Ln,https://angelfirechamber.org/business/category/activities-recreation/; https://angelfirechamber.org/business/hotels-motels-lodges/; https://visitangelfirenm.com/all-listings/; https://visitangelfirenm.com/all-listings/?_listing_directory_pagination=1; https://visitangelfirenm.com/dining/; https://visitangelfirenm.com/dining/?_listing_directory_pagination=1; https://visitangelfirenm.com/shopping/; https://visitangelfirenm.com/shopping/?_listing_directory_pagination=1,Unknown,2026-06-30,"Restaurant or dining business in Angel Fire, Colfax, NM. It is useful for visitor referrals, local event outreach, shop-local campaigns, and cross-promotion questions that fit the business.",true,Promotion,Artist; For-Profit; Program; Visitors / tourists,Unknown / verify,Unknown,Improve Online Visibility; Promote Something; Start Something,True,,"Restaurant or dining business in Angel Fire, Colfax, NM. It is useful for visitor referrals, local event outreach, shop-local campaigns, and cross-promotion questions that fit the business.","Restaurant or dining business in Angel Fire, Colfax, NM. It is useful for visitor referrals, local event outreach, shop-local campaigns, and cross-promotion questions that fit the business.",,,,,,,,,,,
travel-guide-angel-fire-resort-hotel-and-conference-center-angel-fire-colfax,Angel Fire Resort Hotel & Conference Center,Conference Center,Angel Fire,Colfax,NM,https://angelfirechamber.org/business/angel-fire-resort-2/,,,,https://angelfirechamber.org/business/angel-fire-resort-2/; https://angelfirechamber.org/business/category/conference-center/,Chamber business directory,2026-06-30,"Public travel or tourism listing. Check current details with the listed page or business before outreach, publication, printing, or promising placement.",true,Visitor-facing listing,Artist; Creative business; Entrepreneur; For-Profit; Non-Profit; Program; Visitors / tourists,Unknown / verify,Online + Physical,Add / Correct Info; Improve Online Visibility; Promote Something; Reach People Offline; Start Something,True,Angel Fire Chamber - Member Businesses,"Public travel or tourism listing. Check current details with the listed page or business before outreach, publication, printing, or promising placement.","Public travel or tourism listing. Check current details with the listed page or business before outreach, publication, printing, or promising placement.",,,,,,,,,,,
angel-fire-resort-nordic-golf-center-colfax-recreation-tourism,Angel Fire Resort Nordic & Golf Center,Recreation / tourism,Angel Fire,Colfax,NM,https://visitangelfirenm.com/listing/angel-fire-resort-nordic-center-golf-course/,,,100 Country Club Dr,https://visitangelfirenm.com/all-listings/; https://visitangelfirenm.com/all-listings/?_listing_directory_pagination=1; https://visitangelfirenm.com/listing/angel-fire-resort-nordic-center-golf-course/,Unknown,2026-06-30,"Lodging or hospitality business in Angel Fire, Colfax, NM. It is useful for visitor referrals, event guest planning, trip-planning pages, and questions about guest-facing information channels.",true,Promotion,For-Profit; Program; Visitors / tourists,Unknown / verify,Unknown,Improve Online Visibility; Promote Something; Start Something,True,,"Lodging or hospitality business in Angel Fire, Colfax, NM. It is useful for visitor referrals, event guest planning, trip-planning pages, and questions about guest-facing information channels.","Lodging or hospitality business in Angel Fire, Colfax, NM. It is useful for visitor referrals, event guest planning, trip-planning pages, and questions about guest-facing information channels.",,,,,,,,,,,
angel-fire-resort-vacation-rentals-colfax-lodging,Angel Fire Resort Vacation Rentals,Lodging,Angel Fire,Colfax,NM,https://visitangelfirenm.com/listing/angel-fire-resort-vacation-rentals/,,,10 Miller Lane,https://visitangelfirenm.com/all-listings/; https://visitangelfirenm.com/all-listings/?_listing_directory_pagination=1; https://visitangelfirenm.com/listing/angel-fire-resort-vacation-rentals/,Unknown,2026-06-30,"Lodging or hospitality business in Angel Fire, Colfax, NM. It is useful for visitor referrals, event guest planning, trip-planning pages, and questions about guest-facing information channels.",true,Promotion,Artist; For-Profit; Program; Visitors / tourists,Paid / commercial or permission-based,Unknown,Improve Online Visibility; Promote Something; Start Something,True,,"Lodging or hospitality business in Angel Fire, Colfax, NM. It is useful for visitor referrals, event guest planning, trip-planning pages, and questions about guest-facing information channels.","Lodging or hospitality business in Angel Fire, Colfax, NM. It is useful for visitor referrals, event guest planning, trip-planning pages, and questions about guest-facing information channels.",,,,,,,,,,,
