id,last_write,name,kind,duplicate_group_size,length,html_count,data_count,audio_count,animation_count,root_index,root_netlify,has_resources,has_funding,has_arts_culture,has_event_posting,has_sitemap,directory_rows,guide_rows,term_everything,term_localstash,term_event_posting,term_google,term_super_eukarya,path
11,2026-06-22T21:01:40,Tri_County_Regional_Marketing_Guide_Netlify_Deep.zip,deployable site zip,1,1012310,14,10,0,5,True,True,False,False,False,True,True,,456,0,0,0,32,0,"C:\Users\Alyxx and Niko\Documents\Northern New Mexico & Southern Colorado Tri-County Regional Marketing Guide For Businesses, Non-Profits, Entrepreneurs, and Artists\versions\Tri_County_Regional_Marketing_Guide_v2026-06-22_no-infographics-ellipse-heroes\Tri_County_Regional_Marketing_Guide_Netlify_Deep.zip"
12,2026-06-22T21:44:26,Tri_County_Regional_Marketing_Guide_Netlify_Deep.zip,deployable site zip,1,1013849,14,10,0,5,True,True,False,False,False,True,True,,456,0,0,0,32,0,"C:\Users\Alyxx and Niko\Documents\Northern New Mexico & Southern Colorado Tri-County Regional Marketing Guide For Businesses, Non-Profits, Entrepreneurs, and Artists\versions\Tri_County_Regional_Marketing_Guide_v2026-06-23_grouped-nav-human-copy\Tri_County_Regional_Marketing_Guide_Netlify_Deep.zip"
13,2026-06-23T01:43:27,Tri_County_Regional_Marketing_Guide_Netlify_Deep.zip,deployable site zip,1,1045704,14,10,0,16,True,True,False,False,False,True,True,,456,0,0,0,32,0,"C:\Users\Alyxx and Niko\Documents\Northern New Mexico & Southern Colorado Tri-County Regional Marketing Guide For Businesses, Non-Profits, Entrepreneurs, and Artists\versions\Tri_County_Regional_Marketing_Guide_v2026-06-23_geo-hero-variants\Tri_County_Regional_Marketing_Guide_Netlify_Deep.zip"
14,2026-06-23T11:22:28,Tri_County_Regional_Marketing_Guide_Netlify_Deep.zip,deployable site zip,1,1048410,14,10,0,16,True,True,False,False,False,True,True,,456,0,0,0,32,0,"C:\Users\Alyxx and Niko\Documents\Northern New Mexico & Southern Colorado Tri-County Regional Marketing Guide For Businesses, Non-Profits, Entrepreneurs, and Artists\versions\Tri_County_Regional_Marketing_Guide_v2026-06-23_softened-animation-audio\Tri_County_Regional_Marketing_Guide_Netlify_Deep.zip"
15,2026-06-23T11:38:55,Tri_County_Regional_Marketing_Guide_Netlify_Deep.zip,deployable site zip,1,1049367,14,10,0,16,True,True,False,False,False,True,True,,456,0,0,0,32,0,"C:\Users\Alyxx and Niko\Documents\Northern New Mexico & Southern Colorado Tri-County Regional Marketing Guide For Businesses, Non-Profits, Entrepreneurs, and Artists\versions\Tri_County_Regional_Marketing_Guide_v2026-06-23_piano-intro\Tri_County_Regional_Marketing_Guide_Netlify_Deep.zip"
16,2026-06-24T00:06:22,Tri_County_Regional_Marketing_Guide_Netlify_Deep.zip,deployable site zip,1,11131537,14,10,2,16,True,True,False,False,False,True,True,,456,0,0,0,32,0,"C:\Users\Alyxx and Niko\Documents\Northern New Mexico & Southern Colorado Tri-County Regional Marketing Guide For Businesses, Non-Profits, Entrepreneurs, and Artists\versions\2026-06-24_funding-directory-expansion\Tri_County_Regional_Marketing_Guide_Netlify_Deep.zip"
17,2026-06-27T10:27:04,Tri_County_Regional_Marketing_Guide_Netlify_Deep.zip,deployable site zip,3,1967552,23,6,3,16,True,True,False,False,False,True,True,,632,0,0,30,53,0,"C:\Users\Alyxx and Niko\Documents\Northern New Mexico & Southern Colorado Tri-County Regional Marketing Guide For Businesses, Non-Profits, Entrepreneurs, and Artists\dist\Tri_County_Regional_Marketing_Guide_Netlify_Deep.zip"
18,2026-06-27T10:27:04,Tri_County_Regional_Marketing_Guide_Netlify_Deep.zip,laptop handoff archive,3,1967552,23,6,3,16,True,True,False,False,False,True,True,,632,0,0,30,53,0,"C:\Users\Alyxx and Niko\Documents\Northern New Mexico & Southern Colorado Tri-County Regional Marketing Guide For Businesses, Non-Profits, Entrepreneurs, and Artists\outputs\Tri_County_Guide_Laptop_Codex_Handoff_2026-06-27\deploy\Tri_County_Regional_Marketing_Guide_Netlify_Deep.zip"
34,2026-06-27T10:27:04,NETLIFY_DEPLOY_Tri_County_Regional_Marketing_Guide_Netlify_Deep.zip,deployable site zip,3,1967552,23,6,3,16,True,True,False,False,False,True,True,,632,0,0,30,53,0,C:\Users\Alyxx and Niko\Desktop\TRI_COUNTY_GUIDE_READY_FOR_NETLIFY_AND_LAPTOP\NETLIFY_DEPLOY_Tri_County_Regional_Marketing_Guide_Netlify_Deep.zip
19,2026-06-27T10:43:53,Tri_County_Guide_Laptop_Codex_Handoff_2026-06-27.zip,laptop handoff archive,2,6567183,24,10,6,32,False,False,False,False,False,True,True,,,0,0,30,53,0,"C:\Users\Alyxx and Niko\Documents\Northern New Mexico & Southern Colorado Tri-County Regional Marketing Guide For Businesses, Non-Profits, Entrepreneurs, and Artists\outputs\Tri_County_Guide_Laptop_Codex_Handoff_2026-06-27.zip"
35,2026-06-27T10:43:53,LAPTOP_CODEX_HANDOFF_Tri_County_Guide_2026-06-27.zip,laptop handoff archive,2,6567183,24,10,6,32,False,False,False,False,False,True,True,,,0,0,30,53,0,C:\Users\Alyxx and Niko\Desktop\TRI_COUNTY_GUIDE_READY_FOR_NETLIFY_AND_LAPTOP\LAPTOP_CODEX_HANDOFF_Tri_County_Guide_2026-06-27.zip
20,2026-06-30T21:24:15,NETLIFY_DEPLOY_Tri_County_Regional_Marketing_Guide_2026-06-30_Travel_Listings_Update.zip,deployable site zip,1,2657640,36,9,3,16,True,True,False,False,False,True,True,,895,0,0,31,80,0,"C:\Users\Alyxx and Niko\Documents\Northern New Mexico & Southern Colorado Tri-County Regional Marketing Guide For Businesses, Non-Profits, Entrepreneurs, and Artists\dist\NETLIFY_DEPLOY_Tri_County_Regional_Marketing_Guide_2026-06-30_Travel_Listings_Update.zip"
21,2026-07-01T02:55:54,NETLIFY_DEPLOY_Tri_County_Regional_Marketing_Guide_2026-07-01_Directory_Sweep_Update.zip,deployable site zip,1,3238564,36,22,3,16,True,True,False,False,False,True,True,,1491,0,0,31,81,0,"C:\Users\Alyxx and Niko\Documents\Northern New Mexico & Southern Colorado Tri-County Regional Marketing Guide For Businesses, Non-Profits, Entrepreneurs, and Artists\dist\NETLIFY_DEPLOY_Tri_County_Regional_Marketing_Guide_2026-07-01_Directory_Sweep_Update.zip"
22,2026-07-01T04:05:54,tc-guide-20260701-resources-arts-audio.zip,deployable site zip,1,5469923,39,24,8,16,True,True,True,True,True,True,True,,1491,0,0,32,87,0,"C:\Users\Alyxx and Niko\Documents\Northern New Mexico & Southern Colorado Tri-County Regional Marketing Guide For Businesses, Non-Profits, Entrepreneurs, and Artists\dist\tc-guide-20260701-resources-arts-audio.zip"
23,2026-07-01T04:54:31,tc-guide-20260701-absolutely-everything.zip,deployable site zip,1,5696198,39,26,8,16,True,True,True,True,True,True,True,1591,1491,3,0,32,89,0,"C:\Users\Alyxx and Niko\Documents\Northern New Mexico & Southern Colorado Tri-County Regional Marketing Guide For Businesses, Non-Profits, Entrepreneurs, and Artists\dist\tc-guide-20260701-absolutely-everything.zip"
24,2026-07-01T05:17:54,NETLIFY_DEPLOY_Tri_County_Regional_Marketing_Guide_2026-07-01_Deduped_Rich_Directory_Update.zip,deployable site zip,2,6082026,39,26,8,16,True,True,True,True,True,True,True,1564,1491,3,0,32,89,0,"C:\Users\Alyxx and Niko\Documents\Northern New Mexico & Southern Colorado Tri-County Regional Marketing Guide For Businesses, Non-Profits, Entrepreneurs, and Artists\dist\NETLIFY_DEPLOY_Tri_County_Regional_Marketing_Guide_2026-07-01_Deduped_Rich_Directory_Update.zip"
30,2026-07-01T05:17:54,NETLIFY_DEPLOY_Tri_County_Regional_Marketing_Guide_2026-07-01_Deduped_Rich_Directory_Update.zip,deployable site zip,2,6082026,39,26,8,16,True,True,True,True,True,True,True,1564,1491,3,0,32,89,0,C:\Users\Alyxx and Niko\Downloads\NETLIFY_DEPLOY_Tri_County_Regional_Marketing_Guide_2026-07-01_Deduped_Rich_Directory_Update.zip
25,2026-07-01T14:10:41,NETLIFY_DEPLOY_Tri_County_Regional_Marketing_Guide_2026-07-01_Directory_Description_Overhaul.zip,deployable site zip,2,6177879,39,26,8,16,True,True,True,True,True,True,True,1564,1491,3,0,32,90,0,"C:\Users\Alyxx and Niko\Documents\Northern New Mexico & Southern Colorado Tri-County Regional Marketing Guide For Businesses, Non-Profits, Entrepreneurs, and Artists\dist\NETLIFY_DEPLOY_Tri_County_Regional_Marketing_Guide_2026-07-01_Directory_Description_Overhaul.zip"
31,2026-07-01T14:10:41,NETLIFY_DEPLOY_Tri_County_Regional_Marketing_Guide_2026-07-01_Directory_Description_Overhaul.zip,deployable site zip,2,6177879,39,26,8,16,True,True,True,True,True,True,True,1564,1491,3,0,32,90,0,C:\Users\Alyxx and Niko\Downloads\NETLIFY_DEPLOY_Tri_County_Regional_Marketing_Guide_2026-07-01_Directory_Description_Overhaul.zip
26,2026-07-01T15:15:20,NETLIFY_DEPLOY_Tri_County_Regional_Marketing_Guide_2026-07-01_Directory_Overhaul_LocalStash.zip,deployable site zip,2,6121724,40,26,8,16,True,True,True,True,True,True,True,1576,1491,2,76,35,87,0,"C:\Users\Alyxx and Niko\Documents\Northern New Mexico & Southern Colorado Tri-County Regional Marketing Guide For Businesses, Non-Profits, Entrepreneurs, and Artists\dist\NETLIFY_DEPLOY_Tri_County_Regional_Marketing_Guide_2026-07-01_Directory_Overhaul_LocalStash.zip"
32,2026-07-01T15:15:20,NETLIFY_DEPLOY_Tri_County_Regional_Marketing_Guide_2026-07-01_Directory_Overhaul_LocalStash.zip,deployable site zip,2,6121724,40,26,8,16,True,True,True,True,True,True,True,1576,1491,2,76,35,87,0,C:\Users\Alyxx and Niko\Downloads\NETLIFY_DEPLOY_Tri_County_Regional_Marketing_Guide_2026-07-01_Directory_Overhaul_LocalStash.zip
33,2026-07-01T16:18:00,NETLIFY_DEPLOY_Tri_County_Regional_Marketing_Guide_2026-07-01_Mobile_Concise_Directory.zip,deployable site zip,2,6140753,40,26,8,16,True,True,True,True,True,True,True,1576,1491,2,76,36,87,0,C:\Users\Alyxx and Niko\Downloads\NETLIFY_DEPLOY_Tri_County_Regional_Marketing_Guide_2026-07-01_Mobile_Concise_Directory.zip
27,2026-07-01T16:18:01,NETLIFY_DEPLOY_Tri_County_Regional_Marketing_Guide_2026-07-01_Mobile_Concise_Directory.zip,deployable site zip,2,6140753,40,26,8,16,True,True,True,True,True,True,True,1576,1491,2,76,36,87,0,"C:\Users\Alyxx and Niko\Documents\Northern New Mexico & Southern Colorado Tri-County Regional Marketing Guide For Businesses, Non-Profits, Entrepreneurs, and Artists\dist\NETLIFY_DEPLOY_Tri_County_Regional_Marketing_Guide_2026-07-01_Mobile_Concise_Directory.zip"
28,2026-07-04T20:32:34,NETLIFY_DEPLOY_Tri_County_Regional_Marketing_Guide_2026-07-05_Event_Posting_Update.zip,deployable site zip,1,6155433,41,27,8,16,True,True,True,True,True,True,True,1576,1491,2,81,114,89,0,"C:\Users\Alyxx and Niko\Documents\Northern New Mexico & Southern Colorado Tri-County Regional Marketing Guide For Businesses, Non-Profits, Entrepreneurs, and Artists\dist\NETLIFY_DEPLOY_Tri_County_Regional_Marketing_Guide_2026-07-05_Event_Posting_Update.zip"
29,2026-07-04T20:43:35,NETLIFY_DEPLOY_Tri_County_Regional_Marketing_Guide_2026-07-05_Event_Posting_All_Counties.zip,deployable site zip,1,6159293,41,27,8,16,True,True,True,True,True,True,True,1576,1491,2,81,114,89,0,"C:\Users\Alyxx and Niko\Documents\Northern New Mexico & Southern Colorado Tri-County Regional Marketing Guide For Businesses, Non-Profits, Entrepreneurs, and Artists\dist\NETLIFY_DEPLOY_Tri_County_Regional_Marketing_Guide_2026-07-05_Event_Posting_All_Counties.zip"
