name,county_scope,channel_type,posting_route,public_facing_note,best_for,verification_status,source_url,notes
Colorado Directory Trinidad Events,Las Animas County / Trinidad,Visitor-directory event page,Directory contact / verify route,Use as a visitor-facing Trinidad event discovery page and possible directory contact route for tourism-oriented events.,"Visitor-facing Trinidad events, seasonal attractions, festivals",Source-linked lead,https://www.coloradodirectory.com/trinidad/events.html,Directory listing page; submission/contact process needs confirmation.
CREATE Trinidad,Las Animas County / Trinidad,Creative district / arts calendar,Contact route,"Use for arts, culture, creative-sector events, and Space to Create / creative district visibility.","Gallery events, workshops, performances, creative entrepreneurship events",Source-linked lead,https://www.trinidadcreativedistrict.org/trinidad-creative-district-events,Page invites users to contact them about missing places/resources; formal event submission process needs confirmation.
Main Street LIVE,Las Animas County / Trinidad,Performing arts venue calendar,Contact / venue-rental route,"Use for events hosted, rented, or programmed through Main Street LIVE; not a general event listing channel.","Theatre, comedy, music, community performances, venue rental, auditions",Official source checked,https://www.mainstreetlive.org/,"Site provides full calendar, venue rental, and contact info."
Mt. Carmel Wellness and Community Center Event Calendar,Las Animas County / Trinidad,Community center calendar,Hosted/partner event contact route,"Use for events hosted by or partnered with Mt. Carmel, especially wellness, youth, family, veterans, classes, and community programs.","Classes, wellness events, youth/family programs, community health and veterans programming",Official source checked,https://www.mtcarmelcenter.org/event-calendar,Venue/program calendar; verify partnership or hosting fit first.
Trinidad & Las Animas County Chamber of Commerce,Las Animas County / Trinidad,Chamber calendar / business network,Chamber calendar/contact or member route,"Use the chamber calendar and business network for local business, member, and community events.","Business events, ribbon cuttings, networking, member promotions",Source-linked lead,https://tlacchamber.org/,Search results show events calendar; submission process needs direct confirmation.
Trinidad Area Upcoming Events Facebook Group,Las Animas County / Trinidad,Social community group,Facebook group post,Post or request approval for Trinidad-area event announcements after checking group rules.,"Trinidad events, markets, arts, entertainment, community gatherings",Source-linked lead,https://www.facebook.com/groups/435233805515580/,Public search result shows event posting activity; group rules need verification.
Trinidad Carnegie Public Library Community Art Wall,Las Animas County / Trinidad,Library display / arts visibility,Contact library,Artists can contact the library about displaying two-dimensional artwork on community art walls.,"Visual artists, student artists, local exhibits, low-cost display opportunities",Official source checked,https://carnegiepubliclibrary.org/community-art-wall/,"Older page, but it gives a clear contact action; verify current availability before publishing as active."
Trinidad Carnegie Public Library Events,Las Animas County / Trinidad,Library/community calendar,Contact library / verify route,Use for library-hosted events and community programs; call or email before treating it as a general listing channel.,"Library programs, youth/family events, community learning, local arts and history programs",Source-linked lead,https://trinidadpubliclibrary.org/events/,Calendar and contact are public; general event submission path not found.
Trinidad State College Arts and Culture Events Calendar,Las Animas County / Trinidad,College arts and culture calendar,Online form,Submit arts and culture events for consideration on the Trinidad State College calendar.,"Arts events, lectures, exhibits, performances, public/community partner events",Official source checked,https://trinidadstate.edu/arts/arts_and_culture_events.html,Page explicitly welcomes on-campus and off-campus arts/culture event submissions from community partners or public organizations.
Visit Trinidad - Submit Your Event,Las Animas County / Trinidad,Tourism event calendar,Online form,Submit visitor-relevant Trinidad events for review on the Visit Trinidad calendar.,"Events open to visitors, festivals, arts events, downtown happenings",Official source checked,https://visittrinidadcolorado.com/resources-for-locals/submit-your-event/,Two-week lead time recommended; publication is discretionary.
Visit Trinidad - Tourism Marketing Request Form,Las Animas County / Trinidad,Tourism marketing support,Online form,"Request broader tourism support that may include the calendar, Colorado.com, Visit Trinidad social channels, PR sharing, or a blog post.","Larger campaigns, visitor-facing events, promotions, tourism news",Official source checked,https://visittrinidadcolorado.com/resources-for-locals/tourism-marketing-request-form/,"Good high-value routing path, not just a calendar."
TLAC Chamber Events Calendar,Las Animas County / Trinidad and countywide,Chamber calendar / business network,Email chamber@tlacchamber.org or use member event route,"Use for Trinidad and Las Animas County business, chamber, and community events that should reach local businesses and visitors.","Business events, chamber events, downtown/community events, member promotions",Source-linked lead,https://tlacchamber.org/,Search result and chamber post reference an events calendar and chamber@tlacchamber.org event details route.
TLAC Chamber How-To: Post an Event,Las Animas County / Trinidad and countywide,Chamber member event-posting instructions,Member/Chamber event posting workflow,Use when the organizer is a chamber member or is working with the chamber and needs the correct way to add an event to the chamber system.,"Chamber members, business events, member-led public events",Official source checked,https://tlacchamber.org/how-to-videos,Official page references a video for posting an event organized by a chamber business.
Las Animas County Fair Facebook,Las Animas County / Trinidad fairgrounds,Fair social page,Message or follow fair page / verify organizer route,Use for fair updates and related event awareness when the item is connected to the Las Animas County Fair.,"County fair updates, rodeo/livestock/youth event awareness, exhibitor and visitor reminders",Source-linked lead,https://www.facebook.com/LasAnimasCountyFair/,Social page; do not assume public submission or resharing.
Las Animas County Fair Schedule / CSU Extension,Las Animas County / Trinidad fairgrounds,County fair schedule / event information,Fair or Extension contact / verify participant route,"Use for fair-week visibility, partner planning, booth/vendor questions, youth/agriculture audiences, and related community traffic.","County fair, youth programs, ag events, vendors, community booths",Official source checked,https://extension.colostate.edu/las-animas/resource/2026-las-animas-county-fair-schedule/,"Information route, not a general submit-any-event calendar."
KCRT / KBKZ Radio,Las Animas County / Trinidad plus Raton and Walsenburg signal area,Radio station / media contact,Email or phone contact,"Contact KCRT/KBKZ for radio announcement, interview, or community visibility possibilities; verify current rates and public-service policies.","Trinidad, Raton, Walsenburg, southern Colorado and northern New Mexico events",Source-linked lead,https://www.kbkzradio.net/,Site lists KCRT/KBKZ contact info including kcrt@comcast.net and phone numbers; no open calendar form found.
Resident Advisor,Music / nightlife platform,Electronic music event platform,Submit event with account,Submit electronic music and nightlife events for approval.,"DJ events, electronic music, dance nights, club-style events",Official source checked,https://support.ra.co/article/12-submitting-events,Niche use; include only for genre-fit events.
Bandsintown for Artists,Music / performer platform,Concert discovery platform,Artist dashboard Add Event,Artists can add live music events so followers and concert-discovery tools can find the show.,"Bands, solo musicians, touring performers, concerts, venue shows",Official source checked,https://help.artists.bandsintown.com/en/articles/7039442-add-an-event,Best for artist-led concert discovery; requires artist/dashboard access.
Songkick,Music / performer platform,Concert discovery platform,Add an event / Tourbox,Add concerts for artists or venues so fans tracking artists can discover local shows.,"Bands, venues, touring acts, concerts, music festivals",Official source checked,https://support.songkick.com/hc/en-us/articles/360012356754-Add-an-event-to-Songkick,Useful for live music visibility beyond local calendars.
KUNM Community Calendar,New Mexico / regional public radio,Public radio community calendar,Online form,Submit New Mexico events to KUNM's self-serve community calendar for staff review.,Colfax/Raton events with statewide or northern New Mexico audience fit,Official source checked,https://www.kunm.org/community-calendar/events/create,Calendar listing and on-air mention are not guaranteed.
New Mexico Tourism Department Partner Portal / Work Together,New Mexico counties only,State tourism listing / industry support,Partner portal / story and event routes,"Use NMTD routes for tourism business listings, event listings, New Mexico Magazine consideration, news, and visitor-information distribution.","Tourism-related Colfax County events, attractions, visitor-facing programs",Official source checked,https://www.newmexico.org/industry/work-together/,"Page references partner portal, New Mexico Magazine event/story consideration, and visitor information distribution."
Taos.org Daily Events Calendar,Northern New Mexico / Taos spillover,Regional tourism calendar,Via LiveTaos approval,Use as downstream visibility when a LiveTaos submission is accepted.,"Northern New Mexico visitor-facing arts, music, classes, cultural events, and community celebrations",Official source checked,https://taos.org/events/calendar/,Taos.org itself describes the daily calendar; LiveTaos states accepted submissions appear there.
LiveTaos Event Calendar,Northern New Mexico / Taos spillover / Angel Fire and nearby Colfax fit,Regional arts and entertainment calendar,Online form,"Submit northern New Mexico arts, music, classes, and community events; accepted items also appear on Taos.org.","Angel Fire, Eagle Nest, Cimarron, Raton, or northern NM events with Taos/Enchanted Circle audience fit",Official source checked,https://livetaos.com/events/submit-an-event/,LiveTaos says approved events also appear on the Daily Events Calendar on Taos.org.
PeakRadar,Pikes Peak region / Colorado arts,Arts and entertainment calendar,Online listing form,Use only for events that plausibly fit PeakRadar's Pikes Peak regional arts and entertainment audience.,Southern Colorado arts/culture events with regional pull; use carefully outside El Paso/Teller/Fremont,Source-linked lead,https://peakradar.com/,"Site says users can list events; coverage is Pikes Peak region, so tri-county fit should be verified."
City of Pueblo Submit Your Event,Pueblo / southern Colorado reach,Municipal event submission,Online route,Use only for events that make sense for Pueblo-area audiences or are connected to Pueblo partners.,"Large regional events, festivals, public events drawing Pueblo attendees",Source-linked lead,https://www.pueblo.us/2801/Events,"Broader regional reach, not tri-county-specific."
Share Pueblo Events,Pueblo / southern Colorado reach,Regional event calendar,Email events@sharepuebloevents.com,"Use for events that could draw Pueblo-area audiences, especially Walsenburg/Huerfano and I-25 corridor events.","Regional festivals, concerts, community gatherings, events with Pueblo audience fit",Source-linked lead,https://sharepuebloevents.com/,Site says email for assistance adding or updating events; verify geographic fit before recommending.
Eventbrite,Regional / all counties,Event marketplace / ticketing,Create event listing,"Use for free or ticketed events that need a public landing page, registration, or ticketing link.","Classes, workshops, festivals, fundraisers, performances, tours",Official source checked,https://www.eventbrite.com/organizer/overview/,Useful as the canonical event URL to submit to calendars.
Facebook Events,Regional / all counties,Social event platform,Create public Facebook event,"Create a public event from the organizer's page so local groups, partners, and LocalStash-style aggregators can discover/share it.","Almost every local event; especially music, markets, fundraisers, classes, festivals",Official source checked,https://www.facebook.com/help/1076296042409786,Pair with the relevant group/page rules; do not spam groups.
LocalStash / Weekender SoCO & NoNM,Regional / SoCO & Northern NM,Regional magazine / event signal,"Create public Facebook event, then contact LocalStash",Use as a regional amplification lead for Southern Colorado and Northern New Mexico events; LocalStash appears to rely heavily on public Facebook events.,"Regional events, tourism-adjacent events, cross-county arts/music/community happenings",Source-linked lead,https://localstash.com/localstash-magazine-soco-nonm/,Facebook result says Weekender is now LocalStash and uses FB Events; verify direct submission/contact before public claims.
KRCC Community Calendar,Southern Colorado / broader Colorado,Public radio community calendar,Online form,Submit events to KRCC's public community calendar for review.,"Arts, culture, nonprofit, community and for-profit events with Southern Colorado audience fit",Official source checked,https://www.cpr.org/krcc/submit-event/,KRCC approves submissions and limits volume per organization.
Southern Colorado Tourism Events,Southern Colorado / Las Animas and Huerfano overlap,Regional tourism event calendar,Contact / verify route,Use as a broader southern Colorado visibility lead for events with regional visitor appeal.,"Trinidad, Walsenburg, La Veta, heritage, arts, outdoor, and festival events",Source-linked lead,https://southerncoloradotourism.com/events/,Events page exists; public submission path not found.
Colorado Springs Gazette Events Listings,Southern Colorado / Pikes Peak reach,Newspaper events listings,Calendar/listing route,"Use selectively for nonprofit, arts, military, literary, outdoor, or regional events that fit Colorado Springs-area listings.","Nonprofit fundraisers, arts events, outdoor events, regional cultural happenings",Source-linked lead,https://gazette.com/category/things-to-do/events-listings/,Gazette notes some listings appear space-available and at editorial discretion.
ColoradoSprings.com Calendar,Southern Colorado / Pikes Peak reach,Events calendar,Add Your Event route,"Use for events with Pikes Peak or southern Colorado audience fit, not routine hyperlocal tri-county items.","Major festivals, performances, outdoor recreation, ticketed regional events",Source-linked lead,https://www.coloradosprings.com/calendar,Calendar has an Add Your Event affordance; verify suitability before broad public recommendation.
Colorado Fun Guide Magazine,Southern Colorado / Pikes Peak region,Magazine / event calendar,Online form,Submit public entertainment-oriented events to Colorado Fun Guide for possible website or magazine inclusion.,"Southern Colorado arts, music, festivals, food, history, kids/family, sports, theater, visual arts",Official source checked,https://coloradofunguide.com/event-submissions/,No account required; all events reviewed.
KTLF Radio Network Community Calendar,Southern Colorado regional,Radio community calendar,Online form,Submit family-friendly community events for possible calendar sharing with a Colorado Springs-based Christian radio audience.,"Church events, fundraisers, family events, community concerts, conferences",Official source checked,https://ktlf.radio/community-calendar/,Broader southern Colorado reach; use only when audience fit makes sense.
Southwest Contemporary Calendar,Southwest / Colorado / New Mexico,Arts and culture calendar,Online form,Submit free arts and culture events taking place in Colorado or New Mexico for moderated listing.,"Gallery openings, exhibitions, performances, artist talks, arts workshops, calls for artists",Official source checked,https://southwestcontemporary.com/calendar-form/,Requires high-quality non-poster image; publication subject to approval.
