name,county_scope,channel_type,posting_route,public_facing_note,best_for,verification_status,source_url,notes
Trinidad Carnegie Public Library Community Art Wall,"Las Animas County / Trinidad","Library display / arts visibility","Contact library","Artists can contact the library about displaying two-dimensional artwork on community art walls.","Visual artists, student artists, local exhibits, low-cost display opportunities","Official source checked","https://carnegiepubliclibrary.org/community-art-wall/","Older page, but it gives a clear contact action; verify current availability before publishing as active."
Raton MainStreet Events,"Colfax County / Raton","MainStreet event calendar / organizer","Contact route","Use for downtown Raton signature events and MainStreet-linked visibility; verify submission or partnership route with Raton MainStreet.","Downtown festivals, First Street events, volunteer calls, vendor opportunities","Source-linked lead","https://ratonmainstreet.org/event-location/historic-1st-street/","Calendar exists and lists events; open event submission path not found."
Gate City Music Festival Vendor Route,"Colfax County / Raton","Festival vendor opportunity","Online or printable vendor application","Use when a vendor, food business, artisan, or service provider wants to participate in the Gate City Music Festival.","Vendors, artists, food/service businesses, festival booth outreach","Official source checked","https://www.gatecitymusicfestival.com/","Site lists vendor information and 2026 vendor application routes."
Raton Arts and Humanities Council / Old Pass Gallery,"Colfax County / Raton","Arts calendar / gallery route","Contact / Facebook / visual arts calendar","Use for visual arts calendar, gallery programming, and local arts visibility in Raton.","Artists, gallery shows, openings, arts education, Raton creative events","Source-linked lead","https://www.ratonarts.org/","Site shows a visual arts calendar image and gallery role; submission process needs direct confirmation."
Main Street LIVE,"Las Animas County / Trinidad","Performing arts venue calendar","Contact / venue-rental route","Use for events hosted, rented, or programmed through Main Street LIVE; not a general event listing channel.","Theatre, comedy, music, community performances, venue rental, auditions","Official source checked","https://www.mainstreetlive.org/","Site provides full calendar, venue rental, and contact info."
A.R. Mitchell Museum of Western Art,"Las Animas County / Trinidad","Museum event calendar / venue hosting","Contact / event hosting page","Use for art openings, museum-hosted events, lectures, and possible venue-hosted arts events.","Arts events, gallery openings, lectures, nonprofit event hosting","Official source checked","https://armitchellmuseum.com/events","Event calendar and event hosting pages are public; posting applies to museum/hosted events, not general listings."
La Veta Creative District,"Huerfano County / La Veta","Creative district calendar / contact route","Contact info@lavetacreativedistrict.org","Use for La Veta arts, festivals, performing arts, and creative-district visibility.","Arts festivals, performing arts, gallery events, creative-district partner events","Source-linked lead","https://www.lavetacreativedistrict.org/festivals-and-signature-events","Site lists festivals/signature events and contact info; open submission path not found."
Francisco Center for the Performing Arts,"Huerfano County / La Veta","Performing arts venue booking","Booking form / theater manager email","Book or coordinate theatre events through the FCPA route.","Performances, community theatre, music, lectures, nonprofit events","Official source checked","https://www.fcpalaveta.org/bookthetheater","Page gives booking instructions and theater@fcpalaveta.org."
La Veta Mercantile Events,"Huerfano County / La Veta","Music/event venue calendar","Venue contact / ticketing calendar","Use for events hosted at La Veta Mercantile and for cross-promotion around booked shows.","Concerts, talks, ticketed events, local music, visiting performers","Source-linked lead","https://lavetamercantile.simpletix.com/","Active ticketing calendar; submission/booking path should be confirmed directly."
Fox Theatre Walsenburg,"Huerfano County / Walsenburg","Arts venue / theatre","Contact route","Use for arts and cultural activities hosted by Fox Theatre Walsenburg; verify booking or promotional route directly.","Film, theatre, arts, cultural activities, nonprofit or community programming","Source-linked lead","https://www.colorado.com/walsenburg/fox-theatre-walsenburg","Colorado.com listing gives contact details; open event submission path not found."
Cuchara Mountain Park Event Calendar,"Huerfano County / Cuchara","Outdoor recreation venue calendar","Contact / event page","Use for events hosted at Cuchara Mountain Park or partner outdoor recreation events.","Outdoor recreation, fundraisers, races, family activities, nonprofit events","Source-linked lead","https://cucharamountainpark.org/pages/event-calendar","Calendar exists; submission route needs direct confirmation."
Francisco Fort Museum Events Calendar,"Huerfano County / La Veta","Museum/community event calendar","Contact / partner route","Use for museum-hosted and partner heritage events in La Veta.","History, heritage, museum events, family cultural programs, local festivals","Source-linked lead","https://www.franciscofort.org/events-calendar","Calendar exists; public open submission route not found."
Southern Colorado Tourism Events,"Southern Colorado / Las Animas and Huerfano overlap","Regional tourism event calendar","Contact / verify route","Use as a broader southern Colorado visibility lead for events with regional visitor appeal.","Trinidad, Walsenburg, La Veta, heritage, arts, outdoor, and festival events","Source-linked lead","https://southerncoloradotourism.com/events/","Events page exists; public submission path not found."
Share Pueblo Events,"Pueblo / southern Colorado reach","Regional event calendar","Email events@sharepuebloevents.com","Use for events that could draw Pueblo-area audiences, especially Walsenburg/Huerfano and I-25 corridor events.","Regional festivals, concerts, community gatherings, events with Pueblo audience fit","Source-linked lead","https://sharepuebloevents.com/","Site says email for assistance adding or updating events; verify geographic fit before recommending."
City of Pueblo Submit Your Event,"Pueblo / southern Colorado reach","Municipal event submission","Online route","Use only for events that make sense for Pueblo-area audiences or are connected to Pueblo partners.","Large regional events, festivals, public events drawing Pueblo attendees","Source-linked lead","https://www.pueblo.us/2801/Events","Broader regional reach, not tri-county-specific."
Colorado Springs Gazette Events Listings,"Southern Colorado / Pikes Peak reach","Newspaper events listings","Calendar/listing route","Use selectively for nonprofit, arts, military, literary, outdoor, or regional events that fit Colorado Springs-area listings.","Nonprofit fundraisers, arts events, outdoor events, regional cultural happenings","Source-linked lead","https://gazette.com/category/things-to-do/events-listings/","Gazette notes some listings appear space-available and at editorial discretion."
ColoradoSprings.com Calendar,"Southern Colorado / Pikes Peak reach","Events calendar","Add Your Event route","Use for events with Pikes Peak or southern Colorado audience fit, not routine hyperlocal tri-county items.","Major festivals, performances, outdoor recreation, ticketed regional events","Source-linked lead","https://www.coloradosprings.com/calendar","Calendar has an Add Your Event affordance; verify suitability before broad public recommendation."
Do303,"Colorado statewide / Denver-Boulder audience","Entertainment event platform","Add event / email cm@do303.com","Use for music, nightlife, arts, or unusual events with enough pull for a Front Range audience.","Music, nightlife, festivals, ticketed arts/culture events","Official source checked","https://do303.com/p/about-do303","Broader Colorado platform; only use when the event reasonably belongs there."
Bandsintown for Artists,"Music / performer platform","Concert discovery platform","Artist dashboard Add Event","Artists can add live music events so followers and concert-discovery tools can find the show.","Bands, solo musicians, touring performers, concerts, venue shows","Official source checked","https://help.artists.bandsintown.com/en/articles/7039442-add-an-event","Best for artist-led concert discovery; requires artist/dashboard access."
Songkick,"Music / performer platform","Concert discovery platform","Add an event / Tourbox","Add concerts for artists or venues so fans tracking artists can discover local shows.","Bands, venues, touring acts, concerts, music festivals","Official source checked","https://support.songkick.com/hc/en-us/articles/360012356754-Add-an-event-to-Songkick","Useful for live music visibility beyond local calendars."
Resident Advisor,"Music / nightlife platform","Electronic music event platform","Submit event with account","Submit electronic music and nightlife events for approval.","DJ events, electronic music, dance nights, club-style events","Official source checked","https://support.ra.co/article/12-submitting-events","Niche use; include only for genre-fit events."
