name,county_scope,channel_type,posting_route,public_facing_note,best_for,verification_status,source_url,notes
Angel Fire Chamber Event Calendar,"Colfax County / Angel Fire / Moreno Valley","Chamber calendar","Calendar/contact route","Use as the Angel Fire master calendar and visibility check before scheduling regional events.","Scheduling checks, chamber events, visitor-facing Moreno Valley events","Source-linked lead","https://angelfirechamber.org/events/","Formal add-event path appears through chamber email and Visit Angel Fire form."
KRTN Enchanted Air Radio Calendar,"Colfax County / Raton plus regional","Radio / community calendar","Contact station / verify route","Use as a Colfax-area community calendar and radio visibility lead; verify the current submission contact before promising posting.","Raton, Cimarron, Maxwell, Springer, and cross-border community events","Source-linked lead","https://krtnradio.com/wp/calendar/","Calendar is active; direct submission path not located in this sweep."
City of Raton Community Events,"Colfax County / Raton","Municipal events calendar","Contact/verify route","Use for city-recognized community events and official local calendar visibility.","Civic events, public events, city-linked celebrations","Source-linked lead","https://www.ratonnm.gov/calendar.php","Calendar exists; public submission process needs confirmation."
Explore Raton Events,"Colfax County / Raton","Tourism/event page","Contact/verify route","Use as a visitor-facing Raton event page and tourism context route.","Major Raton festivals, visitor-facing community events, downtown activities","Source-linked lead","https://www.exploreraton.com/events","Events page exists; formal submission path not found in this sweep."
LocalStash / Weekender SoCO & NoNM,"Regional / SoCO & Northern NM","Regional magazine / event signal","Create public Facebook event, then contact LocalStash","Use as a regional amplification lead for Southern Colorado and Northern New Mexico events; LocalStash appears to rely heavily on public Facebook events.","Regional events, tourism-adjacent events, cross-county arts/music/community happenings","Source-linked lead","https://localstash.com/localstash-magazine-soco-nonm/","Facebook result says Weekender is now LocalStash and uses FB Events; verify direct submission/contact before public claims."
Colorado.com Event or Business Listing,"Colorado counties only","State tourism listing","Partner registration / extranet","Submit or update tourism-related event and business listings through Colorado Tourism Office routes.","Visitor-facing Colorado events, tourism businesses, festivals, attractions","Official source checked","https://www.colorado.com/contact-us/prescreen","Colorado.com links to submit/update event or business listings."
Colorado Tourism Partner Registration,"Colorado counties only","State tourism listing","Online partner registration","Create a free Colorado.com tourism partner listing for eligible tourism-related businesses/events with physical Colorado addresses.","Tourism-related Colorado businesses/events needing statewide discovery","Official source checked","https://www.colorado.com/partner-registration","Physical Colorado address and tourism relevance required."
New Mexico Tourism Department Partner Portal / Work Together,"New Mexico counties only","State tourism listing / industry support","Partner portal / story and event routes","Use NMTD routes for tourism business listings, event listings, New Mexico Magazine consideration, news, and visitor-information distribution.","Tourism-related Colfax County events, attractions, visitor-facing programs","Official source checked","https://www.newmexico.org/industry/work-together/","Page references partner portal, New Mexico Magazine event/story consideration, and visitor information distribution."
KRCC Community Calendar,"Southern Colorado / broader Colorado","Public radio community calendar","Online form","Submit events to KRCC's public community calendar for review.","Arts, culture, nonprofit, community and for-profit events with Southern Colorado audience fit","Official source checked","https://www.cpr.org/krcc/submit-event/","KRCC approves submissions and limits volume per organization."
KUNM Community Calendar,"New Mexico / regional public radio","Public radio community calendar","Online form","Submit New Mexico events to KUNM's self-serve community calendar for staff review.","Colfax/Raton events with statewide or northern New Mexico audience fit","Official source checked","https://www.kunm.org/community-calendar/events/create","Calendar listing and on-air mention are not guaranteed."
Colorado Fun Guide Magazine,"Southern Colorado / Pikes Peak region","Magazine / event calendar","Online form","Submit public entertainment-oriented events to Colorado Fun Guide for possible website or magazine inclusion.","Southern Colorado arts, music, festivals, food, history, kids/family, sports, theater, visual arts","Official source checked","https://coloradofunguide.com/event-submissions/","No account required; all events reviewed."
Southwest Contemporary Calendar,"Southwest / Colorado / New Mexico","Arts and culture calendar","Online form","Submit free arts and culture events taking place in Colorado or New Mexico for moderated listing.","Gallery openings, exhibitions, performances, artist talks, arts workshops, calls for artists","Official source checked","https://southwestcontemporary.com/calendar-form/","Requires high-quality non-poster image; publication subject to approval."
PeakRadar,"Pikes Peak region / Colorado arts","Arts and entertainment calendar","Online listing form","Use only for events that plausibly fit PeakRadar's Pikes Peak regional arts and entertainment audience.","Southern Colorado arts/culture events with regional pull; use carefully outside El Paso/Teller/Fremont","Source-linked lead","https://peakradar.com/","Site says users can list events; coverage is Pikes Peak region, so tri-county fit should be verified."
Facebook Events,"Regional / all counties","Social event platform","Create public Facebook event","Create a public event from the organizer's page so local groups, partners, and LocalStash-style aggregators can discover/share it.","Almost every local event; especially music, markets, fundraisers, classes, festivals","Official source checked","https://www.facebook.com/help/1076296042409786","Pair with the relevant group/page rules; do not spam groups."
Eventbrite,"Regional / all counties","Event marketplace / ticketing","Create event listing","Use for free or ticketed events that need a public landing page, registration, or ticketing link.","Classes, workshops, festivals, fundraisers, performances, tours","Official source checked","https://www.eventbrite.com/organizer/overview/","Useful as the canonical event URL to submit to calendars."
Huerfano County Events Facebook Group,"Huerfano County","Social community group","Facebook group post","Post or request approval for Huerfano County community events after checking group rules.","Community events, markets, concerts, family activities, openings","Source-linked lead","https://www.facebook.com/groups/261969198660237/","Search result says group is open for community event posts; rules/admin approval need verification."
Trinidad Area Upcoming Events Facebook Group,"Las Animas County / Trinidad","Social community group","Facebook group post","Post or request approval for Trinidad-area event announcements after checking group rules.","Trinidad events, markets, arts, entertainment, community gatherings","Source-linked lead","https://www.facebook.com/groups/435233805515580/","Public search result shows event posting activity; group rules need verification."
